名称,避難が予想される住民の地区名,,,指定場所,市町村名,種別,災害区分,"土砂災害・浸水・津波浸水予測地域","緊急避難先レベル",,耐震性,備蓄の有無,備蓄品目,,,標高（m）,"経度：東経(世界測地系10進法)","緯度：北緯(世界測地系10進法)",発電機,,,"施設面積（㎡）",,収容人数,収容人数(一時）,所在地,備考
,,,,,,,,,風水害,津波,,,備蓄の有無,食料の有無,備蓄品目,,,,発電機の有無,発動発電機（可搬型）,自家発電機,屋内,屋外,,,,
印南小学校,地方　浜,,,,印南町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波,津波浸水予測地域,☆☆☆,☆,耐震　,,,,,5,135.2178689 ,33.8167144 ,,,,,,114,,印南町大字印南1915,
稲原中学校,印南原  立石  明神川,,,,印南町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波,土砂災害予測地域　浸水予測地域　,☆☆,☆☆☆,耐震　,,,,,61,135.2270169 ,33.8594530 ,,,,,,141,,印南町大字印南原1743,
稲原小学校,印南原,,,,印南町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波,,☆☆☆,☆☆☆,耐震　,,,,,50,135.2353708 ,33.8572577 ,,,,,,100,,印南町大字印南原,
みずほ会館,切山  南谷,,,,印南町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波,,☆☆☆,☆☆☆,耐震　,,,,,15,135.1998235 ,33.8595985 ,,,,,,26,,印南町大字南谷,
まづま保育園,田ノ垣内  小原  西神ノ川,,,,印南町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波,,☆☆☆,☆☆☆,耐震　,有,○,○,衛星携帯電話、食料,148,135.3155720 ,33.8771800 ,,,,,,20,,印南町大字田ノ垣内150-1,
カルフール・ド・ルポ印南,,,,,印南町,福祉避難所,,,,,,,,,,,135.2216007 ,33.8219657 ,,,,,,,,印南町大字山口150-1,
楠本集会所上,楠本  ,,,,印南町,避難場所,津波,,,☆☆☆,,,,,,30,135.2530720 ,33.8138570 ,,,,,,,,印南町大字島田,
名杭墓地付近,名杭  ,,,,印南町,避難場所,津波,,,☆☆☆,,,,,,30,135.2529240 ,33.8065360 ,,,,,,,,印南町大字島田,
高垣集会所上墓地,高垣  ,,,,印南町,避難場所,津波,,,☆☆☆,,,,,,25,135.2500140 ,33.8110760 ,,,,,,,,印南町大字西ノ地,
丸山,西ノ地  ,,,,印南町,避難場所,津波,,,☆☆☆,,,,,,24,135.2451430 ,33.8033200 ,,,,,,,,印南町大字西ノ地,
千手観音,西ノ地  ,,,,印南町,避難場所,津波,,,☆☆☆,,,,,,18,135.2438880 ,33.8079110 ,,,,,,,,印南町大字西ノ地,
光明寺上町道,島田  ,,,,印南町,避難場所,津波,,,☆☆☆,,,,,,21,135.2426700 ,33.7959510 ,,,,,,,,印南町大字島田,
