"避難先名称","避難が予想される住民の地区名","指定場所","管轄市町村名","避難種別","災害区分","土砂災害・浸水・津波浸水予測地域","緊急避難場所レベル（風水害）","緊急避難場所レベル（津波）","耐震性","備蓄の有無","備蓄品目（備蓄の有無）","備蓄品目（食料の有無）","備蓄品目（備蓄品目）","標高（メートル）","経度：東経（世界測地系10進法）","緯度：北緯（世界測地系10進法）","発電機（発電機の有無）","発電機（発動発電機（可搬型））","発電機（自家発電機）","施設面積（平米）屋内","施設面積（平米）屋外","収容人数","収容人数（一時）","所在地","備考1","備考２-１","備考２-２"
"上富田文化会館","朝来  岩崎  南紀の台 生馬 岩田 岡 市ノ瀬 下鮎川","","上富田町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　大規模な火事","浸水予測地域　","☆☆","","耐震　","","","","",20,135.42983,33.6969116,"○","","",3884,0,166,166,"上富田町朝来758-1","",""
"上富田中学校","朝来  岩崎  南紀の台 生馬 岩田 岡 市ノ瀬 下鮎川","","上富田町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　大規模な火事","浸水予測地域　","☆☆","","耐震　","","","","",18,135.4333014,33.6990351,"","","",780,12000,445,445,"上富田町岩田173-1","",""
"市ノ瀬コミュニティ消防センター","市ノ瀬","","上富田町","避難所を兼ねる避難場所","崖崩れ・土石流及び地滑り　地震　大規模な火事","浸水予測地域　","☆","","耐震　","","","","",32,135.462795,33.7131053,"","","",208,0,30,30,"上富田町市ノ瀬619-2","",""
"県立熊野高校","朝来  岩崎  南紀の台 生馬 岩田 岡 市ノ瀬 下鮎川","","上富田町","避難所を兼ねる避難場所","洪水　内水氾濫　地震　大規模な火事","土砂災害予測地域　浸水予測地域　","☆","","耐震　","","","","",22,135.4313573,33.6997264,"","","",1170,13000,195,195,"上富田町朝来670-0","",""
"岩田小学校","岩田","","上富田町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　大規模な火事","浸水予測地域　","☆☆","","耐震　","","","","",24,135.4438803,33.7062481,"","","",797,6000,248,248,"上富田町岩田1750-0","",""
"岩田児童館","岩田","","上富田町","避難所を兼ねる避難場所","洪水　内水氾濫　大規模な火事","土砂災害予測地域　浸水予測地域　","☆","","","","","","",31,135.4491741,33.7093429,"","","",190,0,40,40,"上富田町岩田2843-0","",""
"岩田高齢者憩の家","岩田","","上富田町","避難所を兼ねる避難場所","崖崩れ・土石流及び地滑り　地震　大規模な火事","浸水予測地域　","☆","","耐震　","","","","",24,135.4441548,33.7069871,"","","",239,0,60,60,"上富田町岩田1775-1","",""
"岩田公民館","岩田","","上富田町","避難所を兼ねる避難場所","洪水　内水氾濫　地震　大規模な火事","土砂災害予測地域　浸水予測地域　","☆","","耐震　","","","","",25,135.4440611,33.7073024,"","","",744,0,55,55,"上富田町岩田1777-0","",""
"下鮎川児童館","下鮎川","","上富田町","避難所を兼ねる避難場所","大規模な火事","土砂災害予測地域　浸水予測地域　","☆（注）","","","","","","",49,135.4797591,33.7192586,"","","",251,0,70,70,"上富田町下鮎川439-3","",""
"岡小学校","岡","","上富田町","避難所を兼ねる避難場所","洪水　内水氾濫　地震　大規模な火事","土砂災害予測地域　","☆","","耐震　","","","","",36,135.4437262,33.7245262,"","","",814,4500,253,253,"上富田町岡638-1","",""
