名称,避難が予想される住民の地区名,,,指定場所,市町村名,種別,災害区分,"土砂災害・浸水・津波浸水予測地域","緊急避難先レベル",,耐震性,備蓄の有無,備蓄品目,,,標高（m）,"経度：東経(世界測地系10進法)","緯度：北緯(世界測地系10進法)",発電機,,,"施設面積（㎡）",,収容人数,収容人数(一時）,所在地,備考
,,,,,,,,,風水害,津波,,,備蓄の有無,食料の有無,備蓄品目,,,,発電機の有無,発動発電機（可搬型）,自家発電機,屋内,屋外,,,,
芦山会館,生馬  ,,,,上富田町,避難所を兼ねる避難場所,洪水　内水氾濫　地震　,土砂災害予測地域　,☆,,,有,○,○,アルファ米他・無線機設置,134,135.4835333 ,33.6858556 ,,,,120,,20,,上富田町生馬2980-1,
はるかぜ保育所,岩田  ,,,,上富田町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　,,☆☆☆,,耐震　,,,,,23,135.4411880 ,33.7046920 ,,,,1419,,180,,上富田町岩田1674-1,
あっそ児童館,朝来  ,,,,上富田町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　,,☆☆☆,,耐震　,,,,,27,135.4169480 ,33.7033960 ,,,,306,,80,,上富田町朝来2284,
NPO法人どんぐりはうす,市ノ瀬  ,,,,上富田町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　,,☆☆☆,,,,,,,33,135.4674398 ,33.7134518 ,,,,700,,50,,上富田町市ノ瀬1251,
上富田福祉センター,朝来  岩崎  南紀の台 生馬 岩田 岡 市ノ瀬 下鮎川,,,,上富田町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　,,☆☆☆,,耐震　,,,,,20,135.4301708 ,33.6964363 ,,,,1236,,50,,上富田町朝来755-1,
南紀医療福祉センター,,,,,上富田町,福祉避難所,,,,,,,,,,,135.4440600 ,33.7083494 ,,,,,,,,上富田町岩田1776-1,
特別養護老人ホーム　愛の園,,,,,上富田町,福祉避難所,,,,,,,,,,,135.4276948 ,33.7185285 ,,,,,,,,上富田町生馬316-56,
三菱電機保養所敷地内,南紀の台  ,,,,上富田町,避難場所,地震　,,,,,,,,,76,135.4070380 ,33.7042590 ,,,,,30000,,,上富田町南紀の台1-1,
パブリック白浜カントリークラブ駐車場,南紀の台  ,,,,上富田町,避難場所,地震　,,,,,,,,,71,135.4064070 ,33.6971630 ,,,,,2000,,,上富田町南紀の台63-1,
防災公園,朝来  ,,,,上富田町,避難場所,地震　,,,,,有,○,,ブルーシート・毛布他,20,135.4174278 ,33.7034778 ,,,,,3600,,,上富田町朝来2293-7,
市ノ瀬高齢者憩の家,市ノ瀬 下鮎川 ,,,,上富田町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　,,☆☆☆,,耐震　,,,,,32,135.4626124 ,33.7153269 ,,,,169,,51,,上富田町市ノ瀬2504-23,
市ノ瀬小学校,市ノ瀬 下鮎川 ,,,,上富田町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　,,☆☆☆,,耐震　,,,,,29,135.4622210 ,33.7126631 ,,,,797,6000,240,,上富田町市ノ瀬604,
市ノ瀬体育館,市ノ瀬 下鮎川 ,,,,上富田町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　,,☆☆,,,,,,,31,135.4613403 ,33.7154461 ,,,,519,,157,,上富田町市ノ瀬2504-35,
三宝寺,岩田  ,,,,上富田町,避難場所,洪水　内水氾濫　地震　,土砂災害予測地域　,☆,,,,,,,29,135.4386710 ,33.7030820 ,,,,180,500,50,,上富田町岩田375,
上富田町保健センター,朝来  岩崎  南紀の台 生馬 岩田 岡 市ノ瀬 下鮎川,,,,上富田町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　,,☆☆☆,,耐震　,,,,,20,135.4304390 ,33.6965310 ,,,,765,,50,,上富田町朝来755-1,
円鏡寺,朝来  ,,,,上富田町,避難場所,洪水　内水氾濫　地震　,土砂災害予測地域　,☆,,耐震　,,,,,29,135.4234190 ,33.6970770 ,,,,200,700,80,,上富田町朝来1036,
櫟原神社,朝来  ,,,,上富田町,避難場所,洪水　内水氾濫　地震　,土砂災害予測地域　,☆,,,,,,,19,135.4198840 ,33.6958020 ,,,,100,450,30,,上富田町朝来2823,
妙道寺,朝来  ,,,,上富田町,避難場所,洪水　内水氾濫　地震　,土砂災害予測地域　,☆,,,,,,,18,135.4194510 ,33.7065640 ,,,,150,450,50,,上富田町朝来3995,
朝来コミュニティセンター,朝来  ,,,,上富田町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　,,☆☆☆,,耐震　,有,○,,ブルーシート・毛布・トイレ他,23,135.4205964 ,33.6971698 ,,,,637,,180,,上富田町朝来2778-1,
朝来小学校,朝来  岩崎 ,,,,上富田町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　,,☆☆☆,,耐震　,,,,,44,135.4216845 ,33.6981216 ,○,,○,1680,7000,450,,上富田町朝来2741,
上富田町役場庁舎,朝来  生馬  岩田,,,,上富田町,避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　,,☆☆☆,,耐震　,有,○,,発電機他,20,135.4288651 ,33.6963777 ,○,,○,3414,7000,,,上富田町朝来763,
岩崎会館,岩崎  ,,,,上富田町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　,土砂災害予測地域　,☆☆,,耐震　,,,,,17,135.4153025 ,33.6877750 ,,,,264,,65,,上富田町岩崎434,
