名称,避難が予想される住民の地区名,,,指定場所,市町村名,種別,災害区分,"土砂災害・浸水・津波浸水予測地域","緊急避難先レベル",,耐震性,備蓄の有無,備蓄品目,,,標高（m）,"経度：東経(世界測地系10進法)","緯度：北緯(世界測地系10進法)",発電機,,,"施設面積（㎡）",,収容人数,収容人数(一時）,所在地,備考
,,,,,,,,,風水害,津波,,,備蓄の有無,食料の有無,備蓄品目,,,,発電機の有無,発動発電機（可搬型）,自家発電機,屋内,屋外,,,,
四郷地域交流センター（ともがき）,四郷地区,,,,かつらぎ町,避難所を兼ねる避難場所,崖崩れ・土石流及び地滑り　,,☆,,,,,,,,135.4797062 ,34.3244762 ,,,,,,1287,,かつらぎ町大字広口1197,
妙寺公民館,妙寺,,,,かつらぎ町,避難所を兼ねる避難場所,洪水　内水氾濫　地震　,浸水予測地域　,☆,,,有,○,○,,,135.5222352 ,34.3074845 ,,,,,,,,かつらぎ町大字妙寺455-1,
旧丁ノ町保育所,丁ノ町,,,,かつらぎ町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　,土砂災害予測地域　,☆（注）,,,,,,,,135.5109084 ,34.3054232 ,,,,,,,,かつらぎ町大字丁ノ町280,
三谷公民館,三谷　兄井　山崎　教良寺,,,,かつらぎ町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　,土砂災害予測地域　浸水予測地域　,☆,,,有,○,○,,,135.5186196 ,34.2830787 ,,,,,,,,かつらぎ町大字三谷1670-1,
広口生活改善センター,広口,,,,かつらぎ町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　地震　,土砂災害予測地域　,☆（注）,,,,,,,,135.4721471 ,34.3169294 ,,,,,,60,,かつらぎ町大字広口476,
笠田東児童館,笠田東,,,,かつらぎ町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　,土砂災害予測地域　浸水予測地域　,☆,,,,,,,,135.4780778 ,34.2851769 ,,,,,,,,かつらぎ町大字笠田東353-1,
笠田中学校,高田　笠田西部　笠田中　笠田東Ⅰ　笠田東Ⅱ,,,,かつらぎ町,避難所を兼ねる避難場所,洪水　内水氾濫　地震　,浸水予測地域　,☆☆☆,,耐震　,,,,,,135.4805428 ,34.2881345 ,,,,,,,,かつらぎ町大字笠田東132,
梁瀬小学校,下花園  ,,,,かつらぎ町,避難所を兼ねる避難場所,洪水　内水氾濫　地震　,土砂災害予測地域　浸水予測地域　,☆,,,有,○,,毛布,376,135.5164956 ,34.1363912 ,,,,,,49,,かつらぎ町大字花園梁瀬669,
妙寺中学校,妙寺 新田 丁ノ町,,,,かつらぎ町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　,,☆☆☆,,耐震　,,,,,67,135.5204024 ,34.3017296 ,,,,,,373,,かつらぎ町大字妙寺581,
妙寺小学校,西飯降 妙寺 新田,,,,かつらぎ町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　,,☆☆☆,,耐震　,,,,,60,135.5264409 ,34.3027836 ,,,,,,267,,かつらぎ町大字妙寺27,
遍照寺,下花園,,,,かつらぎ町,避難所を兼ねる避難場所,洪水　内水氾濫　地震　,土砂災害予測地域　浸水予測地域　,☆,,,有,○,,毛布,405,135.5155117 ,34.1384065 ,,,,,,60,,かつらぎ町大字花園梁瀬1567,
平生活改善センター,四郷第２  ,,,,かつらぎ町,避難所を兼ねる避難場所,洪水　内水氾濫　地震　,土砂災害予測地域　浸水予測地域　,☆,,,,,,,337,135.4780320 ,34.3369270 ,,,,,,58,,かつらぎ町大字平93,
東谷ふるさとセンター,四郷第２  ,,,,かつらぎ町,避難所を兼ねる避難場所,洪水　内水氾濫　地震　,土砂災害予測地域　浸水予測地域　,☆☆,,耐震　,,,,,306,135.4895331 ,34.3389235 ,,,,,,103,,かつらぎ町大字東谷1847,
東渋田軽スポーツセンター,東渋田  ,,,,かつらぎ町,避難所を兼ねる避難場所,洪水　内水氾濫　地震　,土砂災害予測地域　浸水予測地域　,☆☆,,耐震　,,,,,60,135.4832180 ,34.2786210 ,,,,,,49,,かつらぎ町大字東渋田428-8,
中飯降児童館,中飯降  ,,,,かつらぎ町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　,,☆☆☆,,耐震　,,,,,74,135.5319335 ,34.3054555 ,,,,,,115,,かつらぎ町大字中飯降284-1,
花園保健福祉館,上花園,,,,かつらぎ町,避難所を兼ねる避難場所,洪水　内水氾濫　地震　,土砂災害予測地域　浸水予測地域　,☆,,,有,○,,毛布,550,135.5709853 ,34.1358227 ,,,,,,60,,かつらぎ町大字花園中南250,
丹生酒殿神社,三谷,,,,かつらぎ町,避難所を兼ねる避難場所,洪水　内水氾濫　地震　,土砂災害予測地域　浸水予測地域　,☆,,,,,,,62,135.5200120 ,34.2892110 ,,,,,,93,,かつらぎ町大字三谷631,
滝文化保存伝習施設,四郷第１  ,,,,かつらぎ町,避難所を兼ねる避難場所,洪水　内水氾濫　地震　,土砂災害予測地域　浸水予測地域　,☆☆,,耐震　,,,,,354,135.4973201 ,34.3279920 ,,,,,,71,,かつらぎ町大字滝872-2,
大谷小学校,大谷  ,,,,かつらぎ町,避難所を兼ねる避難場所,洪水　内水氾濫　地震　,土砂災害予測地域　浸水予測地域　,☆☆,,耐震　,,,,,96,135.4942487 ,34.3009880 ,,,,,,231,,かつらぎ町大字大谷338,
大谷地域交流センター,大谷,,,,かつらぎ町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　,土砂災害予測地域　浸水予測地域　,☆☆,,耐震　,,,,,52,135.4896759 ,34.2941501 ,,,,,,95,,かつらぎ町大字大谷868-1,
西飯降集会所,西飯降  ,,,,かつらぎ町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　,,☆☆☆,,耐震　,,,,,77,135.5267444 ,34.3063008 ,,,,,,76,,かつらぎ町大字西飯降291,
西柏木会館,柏木,,,,かつらぎ町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　,,☆☆☆,,耐震　,,,,,119,135.4915965 ,34.3081981 ,,,,,,72,,かつらぎ町大字柏木305-1,
西渋田児童館,西渋田  ,,,,かつらぎ町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　,,☆,,,,,,,53,135.4705170 ,34.2771530 ,,,,,,85,,かつらぎ町大字西渋田124-1,
新城農作業準備休養施設,新城  ,,,,かつらぎ町,避難所を兼ねる避難場所,洪水　内水氾濫　地震　,土砂災害予測地域　浸水予測地域　,☆,,耐震　,,,,,351,135.5048752 ,34.1983573 ,,,,,,60,,かつらぎ町大字新城879-1,
新子ふるさと村,上花園  ,,,,かつらぎ町,避難所を兼ねる避難場所,洪水　内水氾濫　地震　,土砂災害予測地域　浸水予測地域　,☆,,,有,○,,毛布,421,135.5499371 ,34.1315600 ,,,,,,64,,かつらぎ町大字花園新子96,
渋田小学校,西渋田 東渋田 ,,,,かつらぎ町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　,,☆☆☆,,耐震　,,,,,56,135.4757693 ,34.2771148 ,,,,,,187,,かつらぎ町大字東渋田152,
寺尾集会所,三谷,,,,かつらぎ町,避難所を兼ねる避難場所,洪水　内水氾濫　地震　,土砂災害予測地域　浸水予測地域　,☆,,,,,,,68,135.4957750 ,34.2846980 ,,,,,,72,,かつらぎ町大字寺尾207,
山崎児童館,三谷  ,,,,かつらぎ町,避難所を兼ねる避難場所,洪水　内水氾濫　地震　,土砂災害予測地域　浸水予測地域　,☆,,,,,,,194,135.5346580 ,34.2924880 ,,,,,,69,,かつらぎ町大字山崎184,
高田児童館,高田  ,,,,かつらぎ町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　,,☆☆,,,,,,,68,135.4493600 ,34.2826190 ,,,,,,90,,かつらぎ町大字高田67-2,
広野高齢者活動促進施設,短野  ,,,,かつらぎ町,避難所を兼ねる避難場所,洪水　内水氾濫　地震　,土砂災害予測地域　浸水予測地域　,☆☆,,耐震　,,,,,126,135.5218104 ,34.3166982 ,,,,,,60,,かつらぎ町大字短野210-1,
見好公民館,西渋田 東渋田 ,,,,かつらぎ町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　,,☆☆,,,有,○,○,非常食、毛布,55,135.4774520 ,34.2799640 ,,,,,,156,,かつらぎ町大字東渋田50,
兄井集会所,三谷,,,,かつらぎ町,避難所を兼ねる避難場所,洪水　内水氾濫　地震　,土砂災害予測地域　浸水予測地域　,☆,,,,,,,62,135.5057240 ,34.2888710 ,,,,,,84,,かつらぎ町大字兄井243,
天野地域交流センター（ゆずり葉）,天野,,,,かつらぎ町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　,,☆☆☆,,耐震　,,,,,452,135.5145633 ,34.2591611 ,,,,,,677,,かつらぎ町大字下天野930,
旧志賀小学校,志賀  ,,,,かつらぎ町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　,,☆☆☆,,耐震　,,,,,360,135.4994581 ,34.2229129 ,,,,,,240,,かつらぎ町大字志賀1214,
四邑公民館,四邑,,,,かつらぎ町,避難所を兼ねる避難場所,洪水　内水氾濫　地震　,土砂災害予測地域　浸水予測地域　,☆☆,,耐震　,,,,,242,135.4857790 ,34.2571020 ,,,,,,604,,かつらぎ町大字御所8,
三谷こども園,三谷,,,,かつらぎ町,避難所を兼ねる避難場所,崖崩れ・土石流及び地滑り　内水氾濫　地震　,土砂災害予測地域　浸水予測地域　,☆☆,,耐震　,,,,,56,135.5186647 ,34.2910712 ,,,,,,691,,かつらぎ町大字三谷1650,
旧花園中学校,上花園 下花園 ,,,,かつらぎ町,避難所を兼ねる避難場所,洪水　内水氾濫　地震　,土砂災害予測地域　浸水予測地域　,☆,,耐震　,有,○,,毛布,402,135.5372523 ,34.1376874 ,,,,,,516,,かつらぎ町大字花園北寺189,
宮本集会所,中央部  ,,,,かつらぎ町,避難所を兼ねる避難場所,洪水　内水氾濫　地震　,土砂災害予測地域　浸水予測地域　,☆,,耐震　,,,,,437,135.5029740 ,34.2703140 ,,,,,,,,かつらぎ町大字宮本13,
久木集会所,上花園  ,,,,かつらぎ町,避難所を兼ねる避難場所,洪水　内水氾濫　地震　,土砂災害予測地域　浸水予測地域　,☆,,,有,○,,毛布,650,135.5722887 ,34.1507588 ,,,,,,61,,かつらぎ町大字花園久木284,
紀北農芸高校,中飯降 妙寺 ,,,,かつらぎ町,避難所を兼ねる避難場所,洪水　内水氾濫　地震　,土砂災害予測地域　浸水予測地域　,☆☆,,耐震　,,,,,112,135.5292785 ,34.3095366 ,,,,,,688,,かつらぎ町大字妙寺1781,
笠田東第１自治区西集会所,笠田東第１,,,,かつらぎ町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　,,☆☆☆,,耐震　,,,,,56,135.4772634 ,34.2890748 ,,,,,,75,,かつらぎ町大字笠田東666-2,
笠田小学校,真和  笠田東  笠田西部,,,,かつらぎ町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　,,☆☆☆,,耐震　,,,,,54,135.4751819 ,34.2878084 ,,,,,,269,,かつらぎ町大字笠田東558,
移レストハウス,笠田西部  ,,,,かつらぎ町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　,,☆☆☆,,耐震　,,,,,86,135.4554510 ,34.2946950 ,,,,,,72,,かつらぎ町大字移82-1,
はなぞの温泉「花圃の里」,上花園 下花園,,,,かつらぎ町,避難所を兼ねる避難場所,洪水　内水氾濫　地震　,土砂災害予測地域　浸水予測地域　,☆,,,有,○,,毛布,400,135.5193076 ,34.1386916 ,,,,,,583,,かつらぎ町大字花園梁瀬779,
丁ノ町地域交流センター,丁ノ町  ,,,,かつらぎ町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　,,☆☆☆,,耐震　,,,,,63,135.5175330 ,34.2996613 ,,,,,,150,,かつらぎ町大字丁ノ町460-1,
河南地域交流センター,中央部  ,,,,かつらぎ町,避難所を兼ねる避難場所,洪水　内水氾濫　地震　,土砂災害予測地域　浸水予測地域　,☆,,耐震　,,,,,70,135.4930990 ,34.2823490 ,,,,,,84,,かつらぎ町大字東渋田667-1,
かつらぎ総合文化会館,妙寺 新田 丁ノ町,,,,かつらぎ町,避難所を兼ねる避難場所,崖崩れ・土石流及び地滑り　内水氾濫　地震　,,☆☆☆,,耐震　,,,,,56,135.5049145 ,34.2949374 ,,,,,,1685,,かつらぎ町大字丁ノ町2454,
窪ふるさと館,笠田西部  ,,,,かつらぎ町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　,,☆☆☆,,耐震　,,,,,61,135.4640170 ,34.2892400 ,,,,,,50,,かつらぎ町大字窪140,
荻原コミュニティセンター,笠田西部  ,,,,かつらぎ町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　,,☆☆☆,,耐震　,,,,,57,135.4662640 ,34.2891790 ,,,,,,84,,かつらぎ町大字萩原353-2,
背ノ山ふれあい会館,笠田西部  ,,,,かつらぎ町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　,,☆☆☆,,耐震　,,,,,54,135.4581940 ,34.2823740 ,,,,,,56,,かつらぎ町大字背ノ山390,
新規作物地域ブランド定着施設,笠田中  ,,,,かつらぎ町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　,,☆☆☆,,耐震　,,,,,58,135.4726890 ,34.2900370 ,,,,,,83,,かつらぎ町大字笠田中256-17,
笠田東第１自治区コミュニティセンター,笠田東第１,,,,かつらぎ町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　,,☆☆☆,,耐震　,,,,,58,135.4805584 ,34.2911689 ,,,,,,200,,かつらぎ町大字笠田東30-3,
笠田ふるさと交流館,真和  笠田東第２,,,,かつらぎ町,避難所を兼ねる避難場所,崖崩れ・土石流及び地滑り　内水氾濫　地震　,土砂災害予測地域　浸水予測地域　,☆☆,,耐震　,有,○,○,非常食、毛布,53,135.4786396 ,34.2882136 ,,,,,,339,,かつらぎ町大字笠田東396-3,
笠田公民館佐野分館,佐野 真和 ,,,,かつらぎ町,避難所を兼ねる避難場所,崖崩れ・土石流及び地滑り　内水氾濫　地震　,土砂災害予測地域　浸水予測地域　,☆☆,,,有,○,○,非常食、毛布,56,135.4879896 ,34.2954007 ,,,,,,218,,かつらぎ町大字佐野551,
大谷公民館,大谷  ,,,,かつらぎ町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　,,☆☆☆,,耐震　,有,○,○,非常食、毛布,63,135.4946107 ,34.2982986 ,,,,,,153,,かつらぎ町大字大谷288-4,
