"避難先名称","避難が予想される住民の地区名","指定場所","管轄市町村名","避難種別","災害区分","土砂災害・浸水・津波浸水予測地域","緊急避難場所レベル（風水害）","緊急避難場所レベル（津波）","耐震性","備蓄の有無","備蓄品目（備蓄の有無）","備蓄品目（食料の有無）","備蓄品目（備蓄品目）","標高（メートル）","経度：東経（世界測地系10進法）","緯度：北緯（世界測地系10進法）","発電機（発電機の有無）","発電機（発動発電機（可搬型））","発電機（自家発電機）","施設面積（平米）屋内","施設面積（平米）屋外","収容人数","収容人数（一時）","所在地","備考1","備考２-１","備考２-２"
"田辺市高齢者複合施設たきの里","","","田辺市","福祉避難所","洪水　崖崩れ・土石流及び地滑り　地震　津波　","","","","","","","","",0,135.4009389,33.69936111,"","","",0,0,0,0,"田辺市たきない町22-1","",""
"JR線路沿い高台","芳養松原","","田辺市","避難場所","津波　","","","☆☆☆","","","","","",15.7,135.353544,33.7497059,"","","",0,0,0,0,"田辺市芳養町1012-0","",""
"JR芳養駅裏高台","芳養松原","","田辺市","避難場所","津波　","","","☆☆☆","","","","","",13,135.355693,33.747145,"","","",0,0,0,0,"田辺市芳養松原２丁目1210-1","",""
"水産試験場跡裏高台","目良","","田辺市","避難場所","津波　","","","☆☆☆","","","","","",25,135.355318,33.731201,"","","",0,0,0,0,"田辺市目良1546-1","",""
"目良川崎造船所裏高台","目良","","田辺市","避難場所","津波　","","","☆☆☆","","","","","",30,135.353042,33.7300816,"","","",0,0,0,0,"田辺市目良1546-0","",""
"特別養護老人ホーム田辺の郷","芳養松原","","田辺市","避難場所","津波　","津波浸水予測地域","","☆☆","耐震　","","","","",21,135.354624,33.744341,"","","",0,734,0,730,"田辺市芳養松原１丁目31-10","標高は屋上",""
"田辺市医師会館","  中屋敷町、新屋敷町","","田辺市","避難場所","津波　","津波浸水予測地域","","☆☆","耐震　","","","","",17,135.378186,33.727521,"","","",0,95,0,90,"田辺市新屋敷町1-8","標高は屋上",""
"万呂小泉高台","高雄","","田辺市","避難場所","津波　","","","☆☆☆","","","","","",15,135.387798,33.7383609,"","","",0,0,0,0,"田辺市下万呂916-0","",""
"八幡宮裏高台","高雄　湊","","田辺市","避難場所","津波　","","","☆☆☆","","","","","",35,135.386029,33.736735,"","","",0,0,0,0,"田辺市高雄３丁目1-31","",""
"愛宕山","湊","","田辺市","避難場所","津波　","","","☆☆☆","","","","","",35,135.385161,33.7353472,"","","",0,0,0,0,"田辺市高雄２丁目11-0","",""
"西八王子宮","江川、上の山","","田辺市","避難場所","津波　","","","☆☆☆","","","","","",21,135.365328,33.7340873,"","","",0,0,0,0,"田辺市上の山２丁目13-7","",""
"TKCビル","南新町、下屋敷町、湊、中屋敷町","","田辺市","避難場所","津波　","津波浸水予測地域","","☆☆","耐震　","","","","",26,135.38117,33.730633,"","","",0,182,0,180,"田辺市下屋敷町30-1","標高は屋上",""
"アルティエホテル紀伊田辺","新屋敷町 　南新町　中屋敷町
下屋敷町","","田辺市","避難場所","津波　","津波浸水予測地域","","☆☆","耐震　","","","","",31,135.381407,33.731047,"","","",0,106,0,100,"田辺市下屋敷町1-77","標高は屋上",""
"丸惣食品","古尾、稲成町","","田辺市","避難場所","津波　","津波浸水予測地域","","☆","耐震　","","","","",8,135.371716,33.7376518,"","","",0,195,190,0,"田辺市古尾14-8","標高は屋上",""
"近畿労働金庫田辺支店","新屋敷町 中屋敷町　末広町　扇ヶ浜","","田辺市","避難場所","津波　","津波浸水予測地域","","☆☆","耐震　","","","","",18,135.378898,33.725845,"","","",0,212,0,210,"田辺市末広町4-30","標高は屋上",""
"紀陽銀行田辺支店","福路町、本町、紺屋町、栄町、北新町","北側の高台","田辺市","避難場所","津波　","津波浸水予測地域","","☆☆","耐震　","","","","",16,135.378038,33.734614,"","","",0,336,0,330,"田辺市高雄１丁目16-20","標高は屋上",""
"NTT西日本田辺別館ビル","福路町、本町、紺屋町、片町、栄町、上屋敷町","","田辺市","避難場所","津波　","津波浸水予測地域","","☆☆","耐震　","","","","",18,135.374932,33.731716,"","","",0,360,0,360,"田辺市上屋敷１丁目6-1","標高は屋上",""
"関西電力田辺社宅付近","秋津町","","田辺市","避難場所","津波　","","","☆☆☆","","","","","",26,135.389747,33.7490588,"","","",0,0,0,0,"田辺市秋津町1343-1","",""
"三四六方面（和歌山トヨタ付近）"," 上の山、稲成町","","田辺市","避難場所","津波　","","","☆☆☆","","","","","",55.4,135.368064,33.7426092,"","","",0,0,0,0,"田辺市稲成町3083-0","",""
"三四六総合運動公園","明洋","","田辺市","避難場所","津波　","","","☆☆☆","","","","","",31.8,135.362938,33.7402695,"","","",0,0,0,0,"田辺市明洋１丁目3-11","",""
