"避難先名称","避難が予想される住民の地区名","指定場所","管轄市町村名","避難種別","災害区分","土砂災害・浸水・津波浸水予測地域","緊急避難場所レベル（風水害）","緊急避難場所レベル（津波）","耐震性","備蓄の有無","備蓄品目（備蓄の有無）","備蓄品目（食料の有無）","備蓄品目（備蓄品目）","標高（メートル）","経度：東経（世界測地系10進法）","緯度：北緯（世界測地系10進法）","発電機（発電機の有無）","発電機（発動発電機（可搬型））","発電機（自家発電機）","施設面積（平米）屋内","施設面積（平米）屋外","収容人数","収容人数（一時）","所在地","備考1","備考２-１","備考２-２"
"パル・シャトー海南（4階以上）","日方","津波時は4階以上","海南市","避難場所","津波　","津波浸水予測地域","","☆","耐震　","","","","",9,135.208326,34.157164,"","","",0,170,0,170,"海南市日方1272-1","「標高」は津波時の避難場所標高を示す。","指定緊急避難場所",""
"和歌山プリンスイン海南（4階以上）","日方","津波時は4階以上","海南市","避難場所","津波　","津波浸水予測地域","","☆","耐震　","","","","",10.1,135.211075,34.154388,"","","",0,100,0,100,"海南市日方1521-1","「標高」は津波時の避難場所標高を示す。","指定緊急避難場所",""
"JR海南駅（プラットホーム）","日方","津波時はプラットホーム","海南市","避難場所","津波　","津波浸水予測地域","","☆","耐震　","","","","",8.4,135.214337,34.154359,"","","",0,0,0,2100,"海南市名高187-8","「標高」は津波時の避難場所標高を示す。","指定緊急避難場所",""
"県営駅前団地（４階以上）","日方","津波時は４階以上","海南市","避難場所","津波　","津波浸水予測地域","","☆","耐震　","","","","",9,135.213942,34.155824,"","","",0,350,0,350,"海南市日方1500-6","「標高」は津波時の避難場所標高を示す。","指定緊急避難場所",""
"日方集会所奥高台","日方","","海南市","避難場所","津波　","","","☆☆☆","","","","","",13,135.2216,34.160876,"","","",0,0,0,0,"海南市日方1401-0","","指定緊急避難場所",""
"方集会所周辺高台","大崎","","海南市","避難場所","津波　","","","☆☆☆","","","","","",15,135.15284,34.114645,"","","",0,0,0,0,"海南市下津町　方48-7","","指定緊急避難場所",""
"大東小学校周辺農道","大崎","","海南市","避難場所","津波　","","","☆☆☆","","","","","",25.5,135.152352,34.125534,"","","",0,0,0,0,"海南市下津町　丸田384-0","","",""
"大崎グラウンド","大崎","","海南市","避難場所","津波　","","","☆☆☆","","","","","",23,135.131267,34.135829,"","","",0,0,0,0,"海南市下津町　大崎884-0","","",""
"三郷八幡神社参道","大崎","","海南市","避難場所","津波　","","","☆☆☆","","","","","",15,135.156456,34.122978,"","","",0,0,0,0,"海南市下津町　丁160-0","","",""
"黒田地区高台","大崎","","海南市","避難場所","津波　","","","☆☆☆","","","","","",19,135.159543,34.122446,"","","",0,0,0,0,"海南市下津町　黒田186-0","","",""
"加茂神社","大崎 加茂","","海南市","避難場所","津波　","","","☆☆☆","","","","","",51.2,135.168724,34.130947,"","","",0,0,0,0,"海南市下津町　下567-0","","",""
"戸坂峠","大崎","","海南市","避難場所","津波　","","","☆☆☆","","","","","",50,135.156528,34.135536,"","","",0,0,0,0,"海南市下津町　丸田1158-0","","",""
