"避難先名称","避難が予想される住民の地区名","指定場所","管轄市町村名","避難種別","災害区分","土砂災害・浸水・津波浸水予測地域","緊急避難場所レベル（風水害）","緊急避難場所レベル（津波）","耐震性","備蓄の有無","備蓄品目（備蓄の有無）","備蓄品目（食料の有無）","備蓄品目（備蓄品目）","標高（メートル）","経度：東経（世界測地系10進法）","緯度：北緯（世界測地系10進法）","発電機（発電機の有無）","発電機（発動発電機（可搬型））","発電機（自家発電機）","施設面積（平米）屋内","施設面積（平米）屋外","収容人数","収容人数（一時）","所在地","備考1","備考２-１","備考２-２"
"旧七川小学校グランド","七川","","古座川町","広域避難場所","地震　","","","","","","","","",135,135.709948,33.620425,"","","",0,2166,0,0,"古座川町下露441-0","","",""
"三尾川小学校グランド","三尾川","","古座川町","広域避難場所","地震　","","","","","","","","",57,135.686538,33.557889,"","","",0,2673,0,0,"古座川町三尾川935-0","","",""
"旧小川小学校グランド","小川（椎平）  小川（長）  小川（洞尾） 小川（滝の拝）","","古座川町","広域避難場所","地震　","","","","","","","","",98,135.762786,33.588416,"","","",0,1046,0,0,"古座川町小川142-0","","",""
"明神小学校グランド","明神","","古座川町","広域避難場所","地震　","","","","","","","","",22,135.756592,33.53719,"","","",0,4592,0,0,"古座川町一雨41-0","","",""
"古座中学校グランド","高池","","古座川町","広域避難場所","地震　津波　","","","☆","","","","","",5,135.822998,33.525115,"","","",0,6511,0,0,"古座川町高池139-0","","",""
"古座川町保健福祉センター","","","古座川町","福祉避難所","","","","","","","","","",0,135.775589,33.5423282,"","","",0,0,495,495,"古座川町川口254-1","","",""
"上部集会所","高池","","古座川町","避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　津波　大規模な火事","","☆","☆☆☆","耐震　","","","","",0,135.819506,33.5304529,"","","",0,0,103,103,"古座川町高池657-1","","指定緊急避難場所",""
"高瀬会","","","古座川町","福祉避難所","","","","","","","","","",0,135.778172,33.5353257,"","","",0,0,0,0,"古座川町高瀬353-0","","",""
"津波避難総合センター","高池下部区","","古座川町","避難所を兼ねる避難場所","津波　大規模な火事","","☆☆☆","☆☆☆","","","","","",0,135.819491005869,33.5304236178221,"","","",0,0,260,260,"古座川町高池261-1","","",""
"七川総合センター","下露、西川、成川、松根","","古座川町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　地震　津波　大規模な火事","","☆☆☆","","","","","","",0,135.709625,33.6195734,"","","",0,0,212,212,"古座川町下露351-2","","",""
"立合集会所","立合 立合川  相瀬","","古座川町","避難所を兼ねる避難場所","洪水　地震　大規模な火事","土砂災害予測地域　浸水予測地域　","☆","","耐震　","","","","",40,135.7287836,33.5375401,"○","","○",50,0,30,30,"古座川町立合127-0","","指定緊急避難場所","指定避難所"
