名称,避難が予想される住民の地区名,,,指定場所,市町村名,種別,災害区分,"土砂災害・浸水・津波浸水予測地域","緊急避難先レベル",,耐震性,備蓄の有無,備蓄品目,,,標高（m）,"経度：東経(世界測地系10進法)","緯度：北緯(世界測地系10進法)",発電機,,,"施設面積（㎡）",,収容人数,収容人数(一時）,所在地,備考
,,,,,,,,,風水害,津波,,,備蓄の有無,食料の有無,備蓄品目,,,,発電機の有無,発動発電機（可搬型）,自家発電機,屋内,屋外,,,,
福田集会所,福田,,,,紀美野町,避難所を兼ねる避難場所,洪水　地震　,,☆☆☆,,耐震　,,,,,85,135.3425170 ,34.1565581 ,,,,192,,43,,紀美野町福田143-1,
国木原集会所,国木原,,,,紀美野町,避難所を兼ねる避難場所,洪水　地震　,土砂災害予測地域　,☆,,耐震　,,,,,200,135.3414222 ,34.1852704 ,,,,83,,25,,紀美野町国木原1,
自然体験世代交流センター,上神野地区,,,,紀美野町,避難所を兼ねる避難場所,洪水　地震　,土砂災害予測地域　,☆,,耐震　,,,,,135,135.3836019 ,34.1420939 ,,,,783,,69,,紀美野町鎌滝636,
元 上神野小学校体育館,上神野地区,,,,紀美野町,避難所を兼ねる避難場所,洪水　地震　,,☆,,耐震　,,,,,135,135.3815670 ,34.1431930 ,,,,561,,149,,紀美野町鎌滝107,
長谷集会所,長谷,,,,紀美野町,避難所を兼ねる避難場所,洪水　地震　,,☆☆☆,,耐震　,,,,,79,135.3166388 ,34.1832971 ,,,,177,,30,,紀美野町長谷37-1,
釜滝集会所,釜滝,,,,紀美野町,避難所を兼ねる避難場所,洪水　地震　,土砂災害予測地域　,☆,,耐震　,,,,,191,135.3402628 ,34.1714945 ,,,,83,,17,,紀美野町西野246-1,
西野集会所,西野,,,,紀美野町,避難所を兼ねる避難場所,洪水　地震　,,☆☆☆,,耐震　,,,,,97,135.3498322 ,34.1695412 ,,,,150,,27,,紀美野町西野691,
志賀野体育館,志賀野地区,,,,紀美野町,避難所を兼ねる避難場所,洪水　地震　,,☆☆☆,,耐震　,,,,,97,135.3532621 ,34.1685189 ,,,,430,,102,,紀美野町西野11-1,
志賀野地区公民館,志賀野地区,,,,紀美野町,避難所を兼ねる避難場所,洪水　地震　,,☆☆☆,,耐震　,,,,,97,135.3523139 ,34.1683726 ,,,,377,,66,,紀美野町西野22-1,
梅本集会所,梅本,,,,紀美野町,避難所を兼ねる避難場所,洪水　地震　,土砂災害予測地域　,☆,,耐震　,,,,,228,135.3305857 ,34.1225589 ,,,,107,,24,,紀美野町梅本363-2,
