,11,12,13,20,30,,,,,,,,A2,B0,C3,C4,,,,,,,
,,,,,,,,,,,,備蓄,,標高（m）,,,,,,,,,
避難先名称,"避難が予想される
住民の地区名",,,指定場所,市町村名,避難種別,避難所区分,"土砂災害・浸水・
津波浸水予測地域","（風水害）
緊急避難先レベル","（津波）
緊急避難先レベル",耐震性,備蓄の有無,備蓄品目,,"経度：東経
(世界測地系10進法)","緯度：北緯
(世界測地系10進法)",備考１,"備考２
（発電機有無）",収容人数,所在地,,,
内原保育所,原谷地区,,,,日高町,避難所 ,風水害 津波 地震,土砂災害浸水予測地域 ,☆☆,☆☆☆,耐震性有り,,,70,135.1577224,33.9618611,,,308,日高町原谷517,,,
光明寺,原谷地区,,,,日高町,避難所 ,風水害 津波 ,,☆☆,☆☆☆,,,,67,135.1521254,33.9600409,,,31,日高町原谷363,,,
岩ノ谷集会所,原谷地区,,,,日高町,避難所 ,津波 ,,,☆☆☆,,,,37,135.1475826,33.9495799,,,12,日高町大字原谷54,,,
内原小学校,萩原地区,高家地区,,,日高町,避難所 屋外避難先 広域避難場所,風水害 津波 地震,,☆☆☆,☆☆☆,耐震性有り,,,12,135.1411974,33.930179,,,286,日高町萩原964,,,
萩原集会所,萩原地区,,,,日高町,避難所 ,風水害 津波 地震,,☆☆☆,☆☆☆,耐震性有り,有,発電機、投光器、土のう袋、簡易トイレ,13,135.1465886,33.9293192,,,28,日高町萩原768-1,,,
萩原公民館,萩原地区,,,,日高町,避難所 ,風水害 津波 ,,☆☆,☆☆☆,,,,18.5,135.1479759,33.9290029,,,51,日高町萩原551-1,,,
荊木公民館,荊木地区,,,,日高町,避難所 ,風水害 津波 ,,☆☆,☆☆☆,,有,発電機、投光器、土のう袋、簡易トイレ,17,135.151509,33.92334,,発電機有り ,50,日高町荊木797-2,,,
中紀技能訓練協会（旧ポリテクセンター日高）,荊木地区,,,,日高町,避難所 屋外避難先 ,風水害 津波 ,,☆☆☆,☆☆☆,,,,10,135.149451,33.9206917,,,272,日高町荊木310,,,
農村環境改善センター,萩原地区,高家地区,小中地区,,日高町,避難所 ,風水害 津波 地震,,☆☆☆,☆☆☆,耐震性有り,,,9,135.1408689,33.9262245,,発電機有り ,693,日高町高家626-1,,,
日高町中央公民館,萩原地区,高家地区,,,日高町,避難所 ,風水害 津波 地震,,☆☆☆,☆☆☆,耐震性有り,,,9,135.1404864,33.9258371,,,251,日高町高家626-1,,,
高家集会所(北),高家地区,,,,日高町,避難所 ,風水害 津波 地震,,☆☆☆,☆☆☆,耐震性有り,,,13.5,135.1368863,33.9276978,,,50,日高町高家469-1,,,
高家集会所(南）,高家地区,,,,日高町,避難所 ,風水害 津波 地震,土砂災害浸水予測地域 ,☆,☆,耐震性有り,,,4,135.1412136,33.9178965,,,33,日高町高家1031-4,,,
池田公民館,池田地区,,,,日高町,避難所 ,風水害 津波 ,,☆☆,☆☆☆,,有,発電機、投光器、土のう袋,32.5,135.1357553,33.9420388,,発電機有り ,144,日高町池田79-1,,,
来迎寺,池田地区,,,,日高町,避難所 ,津波 ,,,☆☆☆,,,,41,135.1336816,33.9422758,,,20,日高町池田341,,,
保健福祉総合センター,小中地区,谷口地区,下志賀地区,,日高町,避難所 ,風水害 津波 地震,土砂災害浸水予測地域 ,☆☆,☆☆☆,耐震性有り,,,22,135.1262411,33.9239305,,,681,日高町小中1308,,,
柏コミュニティセンター,柏地区,,,,日高町,避難所 ,風水害 地震,土砂災害浸水予測地域 ,☆,☆,耐震性有り,有,発電機、投光器、浄水器,5,135.0950199,33.946756,,発電機有り ,30,日高町志賀3887-1,,,
善宗寺,柏地区,,,,日高町,避難所 ,風水害 津波 ,,☆☆,☆☆,,,,13,135.0940979,33.947178,,,36,日高町志賀3852,,,
堺市立日高少年自然の家（食堂棟）,上志賀地区,,,食堂棟,日高町,避難所 ,風水害 津波 地震,土砂災害浸水予測地域 ,☆☆,☆☆,耐震性有り,,,11,135.0919136,33.9432882,,,242,日高町志賀3798-1,,,
上志賀青年会場,上志賀地区,,,,日高町,避難所 ,津波 ,,,☆☆☆,,有,発電機、投光器、浄水器,44,135.1024898,33.9355963,,発電機有り ,24,日高町志賀3486,,,
久志集会所,久志地区,,,,日高町,避難所 ,津波 ,,,☆☆☆,耐震性有り,,,29,135.1003987,33.9276343,,,21,日高町志賀2722-2,,,
志賀保育所,中志賀地区,久志地区,上志賀地区,,日高町,避難所 屋外避難先 ,風水害 津波 地震,,☆☆☆,☆☆☆,耐震性有り,,,19.5,135.1101276,33.9226819,,,137,日高町志賀1781,,,
武道館,中志賀地区,久志地区,上志賀地区,,日高町,避難所 ,風水害 津波 地震,,☆☆☆,☆☆☆,耐震性有り,有,発電機、投光器、チエンソー、担架,19.5,135.1108479,33.922662,,発電機有り ,275,日高町志賀1781,,,
志賀小学校,中志賀地区,下志賀地区,,,日高町,避難所 屋外避難先 広域避難場所,風水害 津波 地震,,☆☆☆,☆☆☆,耐震性有り,,,16,135.1141342,33.9231779,,,283,日高町志賀1800,,,
下志賀コミュニティセンター,下志賀地区,,,,日高町,避難所 ,風水害 津波 地震,,☆☆☆,☆☆☆,耐震性有り,有,発電機、投光器、簡易トイレ、担架,12.5,135.1190129,33.9213975,,発電機有り,44,日高町大字志賀1018-1,,,
文化会館,谷口地区,下志賀地区,小池地区,,日高町,避難所 ,風水害 津波 地震,,☆☆☆,☆☆☆,耐震性有り,有,発電機、投光器、簡易トイレ、毛布,7,135.1269175,33.9190923,,発電機有り ,40,日高町志賀564,,,
日高中学校,谷口地区,下志賀地区,小中地区,,日高町,避難所 ,風水害 津波 地震,,☆☆☆,☆☆☆,耐震性有り,,,16,135.1268337,33.9220659,,,578,日高町志賀71,,,
小池集会所,小池地区,,,,日高町,避難所 ,風水害 津波 地震,土砂災害浸水予測地域 ,☆,☆☆☆,耐震性有り,有,発電機、投光器、土のう袋、簡易トイレ,16,135.1283409,33.9069628,,,24,日高町小池450,,,
荘厳寺,方杭地区,,,,日高町,避難所 ,津波 ,,,☆,,有,発電機、投光器、消火用ホース,9,135.0871475,33.9397741,,発電機有り ,20,日高町方杭65-1,,,
温泉館｢海の里｣みちしおの湯,方杭地区,,,,日高町,避難所 ,風水害 津波 ,土砂災害浸水予測地域 ,☆☆,☆☆,耐震性有り,,,8,135.0870856,33.9383875,,,131,日高町方杭100,,,
小浦地区公民館,小浦地区,,,,日高町,避難所 ,風水害 津波 ,,☆☆☆,☆,,有,発電機、投光器、アルミリヤカー,6.5,135.0772098,33.9285569,,発電機有り ,85,日高町小浦174,,,
比井保育所,比井地区,小浦地区,津久野地区,,日高町,避難所 ,津波 ,津波浸水予測地域,,☆,耐震性有り,,,6,135.082678,33.9226882,,,101,日高町比井729,,,
比井小学校,比井地区,小浦地区,他,体育館,日高町,避難所 屋外避難先 広域避難場所,風水害 津波 ,土砂災害浸水予測地域 津波浸水予測地域,☆☆,☆,耐震性有り,有,発電機、投光器、担架、簡易トイレ,5,135.083285,33.922658,,発電機有り ,304,日高町比井938,,,
小坂青年会場（大恩寺）,小坂地区,,,,日高町,避難所 ,津波 ,,,☆☆☆,,,,29.5,135.0923937,33.9191065,,,31,日高町小坂262,,,
産湯集会所,産湯地区,,,,日高町,避難所 ,風水害 地震,,☆☆☆,☆,耐震性有り,有,発電機、投光器、浄水器、油圧ジャッキ,5,135.0842557,33.9121371,,発電機有り ,44,日高町産湯163,,,
比井崎漁協漁村センター,阿尾地区,,,,日高町,避難所 ,風水害 ,土砂災害浸水予測地域 ,☆,,耐震性有り,,,2.5,135.0762198,33.902574,,,100,日高町阿尾143-4,,,
阿尾青年会場,阿尾地区,,,,日高町,避難所 ,風水害 ,,☆☆,,,,,3,135.0714804,33.9042066,,,32,日高町阿尾532,,,
特別養護老人ホーム｢みちしお｣,阿尾地区,,,３階へ避難する,日高町,避難所 ,風水害 津波 地震,土砂災害浸水予測地域 ,☆☆,☆,耐震性有り,,,6,135.0684727,33.905155,,,118,日高町阿尾624,,,
田杭集会所,田杭地区,,,,日高町,避難所 ,風水害 津波 地震,土砂災害浸水予測地域 ,☆☆,☆,耐震性有り,有,発電機、投光器、浄水器、アルミリヤカー,8.5,135.0680387,33.8922252,,発電機有り ,38,日高町阿尾1630,,,
沙攫神社,柏地区,,,,日高町,屋外避難先 ,津波 地震,土砂災害浸水予測地域 ,,☆☆☆,,,,27,135.096972,33.947322,,,30,日高町志賀4001,,,
比井斎場付近高台,比井地区,産湯地区,,,日高町,屋外避難先 ,津波 地震,土砂災害浸水予測地域 ,,☆☆☆,,,,14,135.083861,33.916909,,,40,日高町比井1414-49付近,,,
比井八王子原高台,比井地区,,,,日高町,屋外避難先 ,津波 地震,土砂災害浸水予測地域 ,,☆☆☆,,,,20,135.078722,33.919114,,,20,日高町比井156-2,,,
比井北谷高台,比井地区,,,,日高町,屋外避難先 ,津波 地震,土砂災害浸水予測地域 ,,☆☆☆,,,,20,135.079806,33.920129,,,20,日高町比井366,,,
比井後谷高台,比井地区,,,,日高町,屋外避難先 ,津波 地震,土砂災害浸水予測地域 ,,☆☆☆,,,,17,135.081375,33.92148,,,150,日高町比井639,,,
田杭柳谷高台,田杭地区,,,,日高町,屋外避難先 ,津波 地震,土砂災害浸水予測地域 ,,☆☆☆,,,,18,135.071736,33.892082,,,60,日高町阿尾1801-2,,,
内原保育所グラウンド,原谷地区,,,,日高町,屋外避難先 ,津波 地震,土砂災害浸水予測地域 ,,☆☆☆,,,,70,135.1577224,33.9618611,,,424,日高町原谷517,,,
内原小学校グラウンド,萩原地区,高家地区,,,日高町,屋外避難先 広域避難場所,津波 地震,,,☆☆☆,,,,12,135.1411974,33.930179,,,1272,日高町萩原964,,,
萩原住民公園,萩原地区,荊木地区,,,日高町,屋外避難先 ,津波 地震,,,☆☆☆,,,,16,135.150681,33.927666,,,757,日高町萩原387-2,,,
職業訓練法人中紀技能訓練協会,荊木地区,,,,日高町,屋外避難先 ,津波 地震,,,☆☆☆,,,,10,135.149451,33.9206917,,,1878,日高町荊木310,,,
高家住民公園,高家地区,,,,日高町,屋外避難先 ,津波 地震,,,☆☆,,,,4,135.137778,33.91789,,,424,日高町高家913-2,,,
小中住民公園,小中地区,高家地区,,,日高町,屋外避難先 ,津波 地震,,,☆☆☆,,,,17,135.133417,33.924769,,,969,日高町小中869-1,,,
谷口住民公園,谷口地区,下志賀地区,,,日高町,屋外避難先 ,津波 地震,,,☆☆☆,,,,14,135.123556,33.917567,,,909,日高町志賀902-1,,,
志賀小学校グラウンド,中志賀地区,下志賀地区,,,日高町,屋外避難先 広域避難場所,津波 地震,,,☆☆☆,,,,16,135.1141342,33.9231779,,,1090,日高町志賀1800,,,
志賀保育所グラウンド,中志賀地区,久志地区,上志賀地区,,日高町,屋外避難先 ,津波 地震,,,☆☆☆,,,,19,135.1101276,33.9226819,,,272,日高町志賀1781,,,
御霊神社境内地,小浦地区,,,,日高町,屋外避難先 ,津波 地震,,,☆,,,,6,135.076917,33.928763,,,109,日高町小浦174,,,
比井小学校グラウンド,比井地区,小浦地区,,,日高町,屋外避難先 広域避難場所,津波 地震,土砂災害浸水予測地域 ,,☆,,,,4,135.083611,33.922518,,,1000,日高町比井938,,,
阿尾後田高台,阿尾地区,,,,日高町,屋外避難先 ,津波 地震,,,☆☆☆,,,,11,135.070963,33.9038257,,,26,日高町阿尾435,,,
