"避難先名称","避難が予想される住民の地区名","指定場所","管轄市町村名","避難種別","災害区分","土砂災害・浸水・津波浸水予測地域","緊急避難場所レベル（風水害）","緊急避難場所レベル（津波）","耐震性","備蓄の有無","備蓄品目（備蓄の有無）","備蓄品目（食料の有無）","備蓄品目（備蓄品目）","標高（メートル）","経度：東経（世界測地系10進法）","緯度：北緯（世界測地系10進法）","発電機（発電機の有無）","発電機（発動発電機（可搬型））","発電機（自家発電機）","施設面積（平米）屋内","施設面積（平米）屋外","収容人数","収容人数（一時）","所在地","備考1","備考２-１","備考２-２"
"本の脇集会場","本ノ脇","","美浜町","避難所","","土砂災害予測地域　津波浸水予測地域","","","","","","","",0,135.119953,33.8956477,"","","",0,0,30,0,"美浜町大字和田1868-4","",""
"和田西中集会場","和田西中","","美浜町","避難所","","浸水予測地域　津波浸水予測地域","","","","","","","",0,135.127546383966,33.9003231071944,"","","",0,0,30,0,"美浜町大字和田1005-1","",""
"Joshin御坊店","上田井地区","","美浜町","広域避難場所","","","","","","","","","",0,135.151150446978,33.8911251754693,"","","",0,0,0,120,"御坊市薗336-1","",""
"オークワロマンシティ","上田井地区","","美浜町","広域避難場所","","","","","","","","","",0,135.148786128427,33.8977235358696,"","","",0,0,0,267,"御坊市湯川町　財部181-0","",""
"入山分館","入山","","美浜町","避難所","","浸水予測地域　津波浸水予測地域","","","","有","","○","アルファ米",0,135.140147,33.906382,"","","",0,0,70,0,"美浜町大字和田2977-1","",""
"田井畑地区津波避難タワー","田井畑区","","美浜町","避難場所","津波　","津波浸水予測地域","","☆","","","","","",7.9,135.14746402987,33.8924410062605,"","","",0,130,0,130,"美浜町大字田井462-6","",""
"浜ノ瀬地区津波避難タワー","浜ノ瀬区","","美浜町","避難場所","津波　","津波浸水予測地域","","☆","","","","","",8.7,135.1511403,33.87975772,"","","",0,100,0,100,"美浜町大字浜ノ瀬24-6","",""
"コーポ美浜","田井畑地区","","美浜町","避難場所","津波　","津波浸水予測地域","","☆☆","","","","","",0,135.151447,33.8859736,"","","",0,0,0,138,"美浜町大字田井435-0","",""
"独立行政法人国立病院機構和歌山病院","和田東地区、松洋中学校","","美浜町","避難場所","津波　","津波浸水予測地域","","☆☆","","","","","",0,135.13427,33.8928573,"","","○",0,0,0,3200,"美浜町大字和田1138-0","",""
"養護老人ホームときわ寮","和田西地区","","美浜町","避難場所","津波　","津波浸水予測地域","","☆☆","","","","","",0,135.1239246349,33.8932943516795,"","","",0,0,0,385,"美浜町大字和田1138-180","",""
