名称,避難が予想される住民の地区名,,,指定場所,市町村名,種別,災害区分,"土砂災害・浸水・津波浸水予測地域","緊急避難先レベル",,耐震性,備蓄の有無,備蓄品目,,,標高（m）,"経度：東経(世界測地系10進法)","緯度：北緯(世界測地系10進法)",発電機,,,"施設面積（㎡）",,収容人数,収容人数(一時）,所在地,備考
,,,,,,,,,風水害,津波,,,備蓄の有無,食料の有無,備蓄品目,,,,発電機の有無,発動発電機（可搬型）,自家発電機,屋内,屋外,,,,
市立紀見東中学校,紀見  胡麻生  橋本ニュータウン しらさぎ台,,,体育館,橋本市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　,,☆☆☆,,耐震　,有,○,,仮設トイレ、避難所仕切り板、投光器、コードリール、煖房器具等,184,135.6126274 ,34.3465992 ,○,,○,1044,11111,417,,橋本市城山台１丁目39-2,
市立紀見小学校,御幸辻  みゆきつじ団地  みゆき台 菖蒲谷 柿の木坂 さつき台,,,体育館,橋本市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　,,☆☆☆,,耐震　,有,○,,仮設トイレ、避難所仕切り板、投光器、コードリール、煖房器具等,186,135.5950778 ,34.3404321 ,○,,○,993,9555,397,,橋本市柿の木坂25-1,
旧学文路中学校体育館,清水 西畑 南馬場,,,浸水時は使用不可,橋本市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　,土砂災害予測地域　,☆☆,,耐震　,有,○,,仮設トイレ、避難所仕切り板、投光器、コードリール、煖房器具等,77,135.5968368 ,34.3071946 ,○,,○,1272,8286,508,,橋本市清水363,
市立応其小学校,名古曽（南・北）  小田  応其板橋 応其団地 伏原３,,,体育館,橋本市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　,,☆☆☆,,耐震　,有,○,,仮設トイレ、避難所仕切り板、投光器、コードリール、煖房器具等,82,135.5682215 ,34.3046417 ,○,,○,952,9183,380,,橋本市高野口町　名古曽19-1,
旧西部中学校体育館,野  柏原  神野々（北）,,,体育館,橋本市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　,,☆☆☆,,耐震　,有,○,,仮設トイレ、避難所仕切り板、投光器、コードリール、煖房器具等,158,135.5820172 ,34.3220223 ,○,,○,1031,11591,412,,橋本市柏原500,
市立西部小学校,出塔 山田 吉原,,,体育館,橋本市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　,土砂災害予測地域　,☆☆,,耐震　,有,○,,仮設トイレ、避難所仕切り板、投光器、コードリール、煖房器具等,154,135.5830530 ,34.3237615 ,○,,○,595,9218,238,,橋本市柏原554-2,
市立あやの台小学校,あやの台,,,体育館,橋本市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　,,☆☆☆,,耐震　,有,○,○,毛布、アルファ米、水、資機材、仮設トイレ、避難所仕切り板、投光器、コードリール、煖房器具等,154,135.6575272 ,34.3402066 ,○,,○,978,9771,391,,橋本市あやの台２丁目17,
山内防災センター,山内  平野,,,センター内,橋本市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　,,☆☆☆,,耐震　,有,○,,仮設トイレ、避難所仕切り板、投光器、コードリール、煖房器具等,191,135.6490735 ,34.3546304 ,○,,○,300,,60,,橋本市隅田町　山内255-2,
高野口山村体験交流促進センター,嵯峨谷  竹尾,,,センター内,橋本市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　,土砂災害予測地域　,☆,,耐震　,有,○,,仮設トイレ、避難所仕切り板、投光器、コードリール、煖房器具等,403,135.5383465 ,34.3411274 ,○,,○,284,,56,,橋本市高野口町　嵯峨谷116,
古佐田区民会館,古佐田  橋本,,,区民会館内,橋本市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　,,☆☆☆,,耐震　,有,○,,仮設トイレ、避難所仕切り板、投光器、コードリール、煖房器具等,93,135.6138848 ,34.3178201 ,○,,○,360,,72,,橋本市古佐田１丁目209-3,
県立橋本高等学校,北馬場  原田  妻 古佐田,,,体育館,橋本市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　,,☆☆☆,,耐震　,有,○,,毛布、仮設トイレ、避難所仕切り板、投光器、コードリール、煖房器具等,123,135.6136802 ,34.3210913 ,○,,○,1320,15354,528,,橋本市古佐田４丁目10-1,
県立紀北工業高等学校,神野々（南）  岸上,,,体育館,橋本市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　,,☆☆☆,,耐震　,有,○,○,毛布、アルファ米、乾燥麺、仮設トイレ、避難所仕切り板、投光器、コードリール、煖房器具等,91,135.5829359 ,34.3080532 ,○,,○,1208,16967,483,,橋本市神野々809,
県立伊都高等学校,名古曽（東） 名古曽 名古曽（南・北）  浦之段  高尾城 丹生平 住吉,,,体育館,橋本市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　,,☆☆☆,,耐震　,有,○,,仮設トイレ、避難所仕切り板、投光器、コードリール、煖房器具等,82,135.5633379 ,34.3053307 ,○,,○,1732,13000,692,,橋本市高野口町　名古曽558,
県立きのかわ支援学校,向島東 向島西 (小田)向島,,,体育館,橋本市,避難所を兼ねる避難場所,崖崩れ・土石流及び地滑り　内水氾濫　地震　,土砂災害予測地域　,☆☆,,耐震　,,,,,,135.5548867 ,34.2985306 ,○,,,805,3608,322,,橋本市高野口町　向島101-3,
橋本市伏原体育館,伏原（１・２）  応其　ベルビューマンション  平山城,,,体育館,橋本市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　,,☆☆☆,,耐震　,有,○,,仮設トイレ、避難所仕切り板、投光器、コードリール、煖房器具等,82,135.5767939 ,34.3074128 ,○,,○,1018,,407,,橋本市高野口町　伏原806-1,
旧市立兵庫幼稚園,河瀬  下兵庫  下兵庫住宅,,,建物内,橋本市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　,,☆☆☆,,耐震　,有,○,,仮設トイレ、避難所仕切り板、投光器、コードリール、煖房器具等,94,135.6301126 ,34.3205920 ,○,,○,414,,82,,橋本市隅田町　下兵庫395,
やどり温泉いやしの湯,宿里（北宿・南宿）,,,建物内,橋本市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　,土砂災害予測地域　,☆☆,,耐震　,有,○,○,仮設トイレ、避難所仕切り板、投光器、コードリール、煖房器具等、アルファ米,300,135.6512027 ,34.2568169 ,○,,○,170,350,32,,橋本市北宿5,
ひこばえの里,彦谷,,,建物内,橋本市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　,,☆☆☆,,耐震　,有,○,,仮設トイレ、避難所仕切り板、投光器、コードリール、煖房器具等,472,135.6409133 ,34.2846454 ,○,,○,100,,20,,橋本市須河752-15,
橋本運動公園,市内全域,,,グラウンド,橋本市,避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　,,☆☆☆,,耐震　,,,,,163,135.6165609 ,34.3347095 ,,,,209000,,,,橋本市北馬場454,
市立学文路小学校,学文路  雇用促進住宅,,,体育館,橋本市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　,土砂災害予測地域　,☆☆,,耐震　,有,○,,仮設トイレ、避難所仕切り板、投光器、コードリール、煖房器具等,87,135.5876862 ,34.2991955 ,○,,○,750,4947,300,,橋本市学文路900,
