"避難先名称","避難が予想される住民の地区名","指定場所","管轄市町村名","避難種別","災害区分","土砂災害・浸水・津波浸水予測地域","緊急避難場所レベル（風水害）","緊急避難場所レベル（津波）","耐震性","備蓄の有無","備蓄品目（備蓄の有無）","備蓄品目（食料の有無）","備蓄品目（備蓄品目）","標高（メートル）","経度：東経（世界測地系10進法）","緯度：北緯（世界測地系10進法）","発電機（発電機の有無）","発電機（発動発電機（可搬型））","発電機（自家発電機）","施設面積（平米）屋内","施設面積（平米）屋外","収容人数","収容人数（一時）","所在地","備考1","備考２-１","備考２-２"
"南部保育所","芝崎","","みなべ町","避難所を兼ねる避難場所","洪水　大規模な火事","津波浸水予測地域","☆☆☆","","耐震　","","","","",7.4,135.3271768,33.7712289,"","","",0,0,125,125,"みなべ町東吉田11-0","","",""
"南部中学校　体育館","片町  外","-","みなべ町","避難所を兼ねる避難場所","洪水　大規模な火事","津波浸水予測地域","☆☆☆","","耐震　","","","","",5.5,135.322364,33.76427137,"","","",0,0,500,500,"みなべ町芝510-0","","指定緊急避難場所","指定避難所"
"南部中学校　校舎","片町 外","-","みなべ町","避難所を兼ねる避難場所","洪水　大規模な火事","津波浸水予測地域","☆☆☆","","耐震　","","","","",5.5,135.322364,33.76427137,"","","",0,0,300,300,"みなべ町芝510-0","","",""
"南部小学校　校舎","新町 外","津波は3階以上","みなべ町","避難所を兼ねる避難場所","洪水　地震　津波　大規模な火事","津波浸水予測地域","☆☆☆","☆","耐震　","有","○","○","非常食、飲料水、簡易トイレ",7,135.32164,33.7662,"","","",0,0,300,300,"みなべ町北道289-0","","指定緊急避難場所",""
"南部小学校　体育館","新町 外","-","みなべ町","避難所を兼ねる避難場所","洪水　大規模な火事","津波浸水予測地域","☆☆☆","","耐震　","","","","",7,135.32164,33.7662,"","","",0,0,500,500,"みなべ町北道289-0","","指定緊急避難場所","指定避難所"
"南部高等学校　校舎","片町 芝崎","津波は3号館3階以上","みなべ町","避難所を兼ねる避難場所","洪水　地震　津波　大規模な火事","津波浸水予測地域","☆☆☆","☆","耐震　","有","○","○","非常食、飲料水、簡易トイレ",7,135.325606,33.764748,"","","",0,0,300,300,"みなべ町芝407-0","","",""
"南道会館","南道 千鹿浦  気佐藤","","みなべ町","避難所を兼ねる避難場所","洪水　地震　大規模な火事","津波浸水予測地域","☆☆☆","","耐震　","","","","",6.5,135.3182286,33.7682023,"","","",0,0,39,39,"みなべ町南道118-1","","",""
"徳蔵区民会館","徳蔵","","みなべ町","避難所を兼ねる避難場所","洪水　大規模な火事","土砂災害予測地域　浸水予測地域　津波浸水予測地域","☆","","","","","","",6.4,135.3223471,33.7819393,"","","",0,0,30,30,"みなべ町徳蔵275-3","","",""
"道林寺","熊岡 晩稲","","みなべ町","避難所を兼ねる避難場所","洪水　津波　大規模な火事","","☆☆","☆☆☆","","","","","",22.1,135.3374091,33.780084,"","","",0,0,30,30,"みなべ町熊岡82-0","","指定緊急避難場所",""
"東本庄区民会館","東本庄","","みなべ町","避難所を兼ねる避難場所","洪水　津波　大規模な火事","土砂災害予測地域　浸水予測地域　","☆☆","☆☆","","","","","",11.5,135.3311157,33.7983309,"","","",0,0,50,50,"みなべ町東本庄571-0","","指定緊急避難場所",""
"東中村会場","東岩代","-","みなべ町","避難所を兼ねる避難場所","洪水　津波　大規模な火事","","☆☆","☆☆","","","","","",15.2,135.2883715,33.7821264,"","","",0,0,10,10,"みなべ町東岩代85-1","","指定緊急避難場所",""
"東神野川区民会館","東神野川","","みなべ町","避難所を兼ねる避難場所","洪水　地震　大規模な火事","土砂災害予測地域　浸水予測地域　","☆","","耐震　","","","","",115.8,135.376176,33.849866,"","","",0,0,30,30,"みなべ町東神野川490-1","","",""
"東吉田会館","東吉田 新庄","","みなべ町","避難所を兼ねる避難場所","洪水　大規模な火事","津波浸水予測地域","☆☆☆","","耐震　","","","","",5.9,135.3260684,33.7745256,"","","",0,0,34,34,"みなべ町東吉田213-0","","",""
"島之瀬区民会館","島之瀬","","みなべ町","避難所を兼ねる避難場所","洪水　地震　大規模な火事","土砂災害予測地域　浸水予測地域　","☆","","耐震　","有","○","","毛布",93.2,135.3664762,33.8462406,"","","",0,0,30,30,"みなべ町島之瀬685-0","","",""
"鶴の湯温泉","熊瀬川","","みなべ町","避難所を兼ねる避難場所","洪水　地震　大規模な火事","","☆☆☆","","耐震　","","","","",80,135.319961,33.835211,"","","",0,0,50,50,"みなべ町熊瀬川47-0","","指定緊急避難場所","指定避難所"
"超世寺","筋 徳蔵","","みなべ町","避難所を兼ねる避難場所","洪水　大規模な火事","土砂災害予測地域　浸水予測地域　津波浸水予測地域","☆（注）","","","","","","",7.3,135.3227672,33.7845467,"","","",0,0,100,100,"みなべ町筋242-0","","",""
"猪之山集会所","片町 芝崎","","みなべ町","避難所を兼ねる避難場所","洪水　地震　津波　大規模な火事","","☆☆☆","☆☆☆","耐震　","","","","",25,135.3289571,33.7684047,"","","",0,0,14,14,"みなべ町芝10-6","","",""
"谷口区民会館","谷口","-","みなべ町","避難所を兼ねる避難場所","洪水　地震　津波　大規模な火事","土砂災害予測地域　浸水予測地域　","☆☆","","耐震　","","","","",9.2,135.3278642,33.7890866,"","","",0,0,50,50,"みなべ町谷口357-0","","",""
"滝区民会館","滝","","みなべ町","避難所を兼ねる避難場所","洪水　地震　大規模な火事","土砂災害予測地域　浸水予測地域　","☆","","耐震　","","","","",101.5,135.347656,33.842917,"","","",0,0,30,30,"みなべ町滝645-1","","",""
"大川区民会館","大川","","みなべ町","避難所を兼ねる避難場所","洪水　地震　大規模な火事","","☆☆☆","","耐震　","","","","",175.8,135.403999,33.846387,"","","",0,0,50,50,"みなべ町清川2538-1","","",""
"西本庄多目的集会場","西本庄","","みなべ町","避難所を兼ねる避難場所","洪水　地震　大規模な火事","土砂災害予測地域　浸水予測地域　","☆","☆☆","耐震　","","","","",26.5,135.3273317,33.80774,"","","",0,0,30,30,"みなべ町西本庄773-0","","指定緊急避難場所",""
"西本庄区民会館","西本庄","","みなべ町","避難所を兼ねる避難場所","洪水　地震　大規模な火事","土砂災害予測地域　浸水予測地域　","☆","☆☆","耐震　","有","○","","毛布",21.5,135.326413,33.8065272,"","","",0,0,50,50,"みなべ町西本庄839-5","","指定緊急避難場所",""
"西中村会場","西岩代","","みなべ町","避難所を兼ねる避難場所","洪水　大規模な火事","土砂災害予測地域　浸水予測地域　津波浸水予測地域","☆","","","","","","",11.5,135.2737656,33.7884151,"","","",0,0,12,12,"みなべ町西岩代1257-2","","",""
"旧清川中学校　体育館","軽井川","-","みなべ町","避難所を兼ねる避難場所","洪水　地震　大規模な火事","","☆☆☆","","耐震　","","","","",160.1,135.399451,33.854582,"","","",0,0,500,500,"みなべ町清川2202-0","","指定緊急避難場所","指定避難所"
"清川小学校　体育館","軽井川 大川","-","みなべ町","避難所を兼ねる避難場所","洪水　地震　大規模な火事","","☆☆☆","","耐震　","","","","",181.9,135.39982,33.849813,"","","",0,0,250,250,"みなべ町清川2340-0","","指定緊急避難場所","指定避難所"
"新福寺","山内","","みなべ町","避難所を兼ねる避難場所","洪水　大規模な火事","津波浸水予測地域","☆（注）","","","","","","",6.2,135.316273,33.777113,"","","",0,0,30,30,"みなべ町山内848-0","","",""
"新庄会館","新庄","","みなべ町","避難所を兼ねる避難場所","洪水　大規模な火事","土砂災害予測地域　浸水予測地域　津波浸水予測地域","☆","","","","","","",5.6,135.3216826,33.7796041,"","","",0,0,25,25,"みなべ町気佐藤473-0","","",""
"埴田集落センター","埴田","-","みなべ町","避難所を兼ねる避難場所","洪水　大規模な火事","津波浸水予測地域","☆☆","","","","","","",6,135.3281591,33.7599952,"","","",0,0,63,63,"みなべ町埴田276-1","","",""
"上南部中学校　体育館","谷口 東本庄","","みなべ町","避難所を兼ねる避難場所","洪水　津波　大規模な火事","","☆","","耐震　","","","","",11.3,135.331372,33.791908,"","","",0,0,500,500,"みなべ町東本庄91-0","","指定緊急避難場所","指定避難所"
"上南部小学校　体育館","谷口","","みなべ町","避難所を兼ねる避難場所","洪水　大規模な火事","土砂災害予測地域　浸水予測地域　","☆☆","","耐震　","","","","",10.7,135.32843,33.791142,"","","",0,0,500,500,"みなべ町谷口549-0","","",""
"十輪寺","滝  高野","","みなべ町","避難所を兼ねる避難場所","洪水　大規模な火事","","☆☆","","","","","","",91,135.3405596,33.8458272,"","","",0,0,100,100,"みなべ町滝1214-0","","",""
"受領会場","東本庄","","みなべ町","避難所を兼ねる避難場所","洪水　大規模な火事","土砂災害予測地域　浸水予測地域　","☆","","耐震　","","","","",62.8,135.3549722,33.8138908,"","","",0,0,30,30,"みなべ町東本庄1708-0","","",""
"芝崎会館","芝崎","","みなべ町","避難所を兼ねる避難場所","洪水　大規模な火事","津波浸水予測地域","☆☆☆","","耐震　","","","","",6,135.32632,33.768266,"","","",0,0,20,20,"みなべ町芝261-0","","",""
"芝会館","芝","","みなべ町","避難所を兼ねる避難場所","洪水　大規模な火事","津波浸水予測地域","☆☆☆","","耐震　","","","","",6.7,135.322507,33.770999,"","","",0,0,20,20,"みなべ町芝721-10","","",""
"市井川区民会館","市井川","","みなべ町","避難所を兼ねる避難場所","洪水　地震　大規模な火事","土砂災害予測地域　浸水予測地域　","☆","","耐震　","有","○","","毛布",110.3,135.3484486,33.8629067,"","","",0,0,30,30,"みなべ町市井川485-1","","",""
"堺児童会館","堺","","みなべ町","避難所を兼ねる避難場所","洪水　大規模な火事","津波浸水予測地域","☆☆☆","","耐震　","","","","",6,135.330522,33.7452513,"","","",0,0,9,9,"みなべ町堺523-0","","",""
"国民宿舎紀州路みなべ","埴田","-","みなべ町","避難所を兼ねる避難場所","洪水　地震　津波　大規模な火事","土砂災害予測地域　","☆☆","☆☆","耐震　","","","","",23.4,135.324055,33.751598,"","","",0,0,300,300,"みなべ町埴田1540-0","","指定緊急避難場所","指定避難所"
"高野区民会館","高野","","みなべ町","避難所を兼ねる避難場所","洪水　地震　大規模な火事","土砂災害予測地域　浸水予測地域　","☆","","耐震　","","","","",96.7,135.3401271,33.8561277,"","","",0,0,40,40,"みなべ町高野526-1","","",""
"高城保育所","広野  滝","","みなべ町","避難所を兼ねる避難場所","洪水　地震　大規模な火事","","☆☆☆","","耐震　","","","","",63,135.356248,33.846675,"","","",0,0,30,30,"みなべ町広野9-0","","",""
"高城中学校　体育館","広野  滝","-","みなべ町","避難所を兼ねる避難場所","洪水　地震　大規模な火事","土砂災害予測地域　浸水予測地域　","☆","","耐震　","","","","",92.9,135.355914,33.849119,"","","",0,0,500,500,"みなべ町滝81-0","","指定緊急避難場所","指定避難所"
"高城中学校　校舎","広野  滝","","みなべ町","避難所を兼ねる避難場所","洪水　地震　大規模な火事","土砂災害予測地域　","☆","","耐震　","有","○","○","非常食、飲料水、簡易トイレ",92.9,135.355914,33.849119,"","","",0,0,300,300,"みなべ町滝81-0","","",""
"高城小学校　体育館","土井  市井川","-","みなべ町","避難所を兼ねる避難場所","洪水　地震　大規模な火事","","☆☆☆","","耐震　","","","","",122,135.35077,33.85321,"","","",0,0,250,250,"みなべ町土井431-0","","指定緊急避難場所","指定避難所"
"高城小学校　校舎","土井  市井川","","みなべ町","避難所を兼ねる避難場所","洪水　地震　大規模な火事","","☆☆☆","","耐震　","有","○","○","非常食、飲料水、簡易トイレ",122,135.35077,33.85321,"","","",0,0,300,300,"みなべ町土井431-0","","",""
"高城高齢者センター","高野","","みなべ町","避難所を兼ねる避難場所","洪水　地震　大規模な火事","","☆☆☆","","耐震　","","","","",87.8,135.3405665,33.8517727,"","","",0,0,50,50,"みなべ町高野1404-0","","指定緊急避難場所","指定避難所"
"広野区民会館","広野","","みなべ町","避難所を兼ねる避難場所","洪水　地震　大規模な火事","土砂災害予測地域　浸水予測地域　","☆","","耐震　","","","","",72.7,135.3585088,33.8451844,"","","",0,0,30,30,"みなべ町広野182-1","","",""
"光明寺","晩稲","","みなべ町","避難所を兼ねる避難場所","洪水　津波　大規模な火事","","☆☆","","","","","","",12.4,135.3398956,33.7867113,"","","",0,0,100,100,"みなべ町晩稲1007-0","","",""
"光照寺","西岩代","","みなべ町","避難所を兼ねる避難場所","洪水　津波　大規模な火事","","☆☆","☆☆☆","","","","","",38.8,135.270986,33.784741,"","","",0,0,30,30,"みなべ町西岩代495-0","","指定緊急避難場所",""
"戸仲会場","西岩代","-","みなべ町","避難所を兼ねる避難場所","洪水　地震　津波　大規模な火事","土砂災害予測地域　浸水予測地域　","☆","☆☆","耐震　","","","","",23.8,135.2712882,33.7972343,"","","",0,0,19,19,"みなべ町西岩代801-1","","指定緊急避難場所",""
"熊瀬川旧集荷場","熊瀬川","","みなべ町","避難所を兼ねる避難場所","洪水　地震　大規模な火事","土砂災害予測地域　浸水予測地域　","☆","","耐震　","","","","",142.5,135.314149,33.8464909,"","","",0,0,20,20,"みなべ町熊瀬川336-0","","",""
"筋児童会館","筋","","みなべ町","避難所を兼ねる避難場所","洪水　津波　大規模な火事","","☆（注）","","","","","","",12,135.322606,33.787935,"","","",0,0,20,20,"みなべ町筋313-1","","",""
"筋区民会館","筋","","みなべ町","避難所を兼ねる避難場所","洪水　大規模な火事","","☆（注）","","耐震　","","","","",9.2,135.323141,33.7856728,"","","",0,0,50,50,"みなべ町筋218-1","","",""
"極楽寺","西本庄","","みなべ町","避難所を兼ねる避難場所","洪水　津波　大規模な火事","土砂災害予測地域　浸水予測地域　","☆","","","","","","",21.5,135.3260677,33.8061146,"","","",0,0,100,100,"みなべ町西本庄830-0","","",""
"久木会場","東岩代","-","みなべ町","避難所を兼ねる避難場所","洪水　地震　津波　大規模な火事","土砂災害予測地域　浸水予測地域　","☆","☆☆","耐震　","","","","",35.5,135.2963613,33.795577,"","","",0,0,24,24,"みなべ町東岩代1625-2","","指定緊急避難場所",""
"気佐藤会館","気佐藤","","みなべ町","避難所を兼ねる避難場所","洪水　地震　大規模な火事","津波浸水予測地域","☆☆☆","","耐震　","","","","",6.1,135.3169986,33.7684719,"","","",0,0,25,25,"みなべ町気佐藤42-0","","",""
"岩代小学校　体育館","東岩代 西岩代","","みなべ町","避難所を兼ねる避難場所","洪水　地震　津波　大規模な火事","土砂災害予測地域　","☆☆","☆☆","耐震　","","","","",26,135.281427,33.781675,"","","",0,0,250,250,"みなべ町西岩代2162-0","","指定緊急避難場所","指定避難所"
"介護老人福祉施設 虹","埴田","","みなべ町","避難所を兼ねる避難場所","洪水　地震　津波　大規模な火事","","☆☆☆","☆☆☆","耐震　","有","○","○","非常食、飲料水、毛布、簡易トイレ",22.5,135.327602,33.75175,"","","",0,0,150,150,"みなべ町埴田1450-1","","指定緊急避難場所","指定避難所"
"駅前集会所","芝崎","","みなべ町","避難所を兼ねる避難場所","洪水　大規模な火事","津波浸水予測地域","☆☆☆","","耐震　","","","","",7.4,135.324715,33.766437,"","","",0,0,10,10,"みなべ町芝355-9","","",""
"ゆうゆう館","堺 埴田","","みなべ町","避難所を兼ねる避難場所","洪水　地震　津波　大規模な火事","","☆☆☆","☆☆☆","耐震　","有","○","○","非常食、飲料水、毛布、簡易トイレ",16,135.3268848,33.7522606,"","","",0,0,183,183,"みなべ町埴田1444-1","","指定緊急避難場所","指定避難所"
"みなべ町保健福祉センター","谷口 東本庄","-","みなべ町","避難所を兼ねる避難場所","洪水　地震　津波　大規模な火事","土砂災害予測地域　浸水予測地域　","☆☆","","耐震　","有","○","○","非常食、飲料水、毛布ほか",11,135.3302929,33.7930552,"○","","○",0,0,200,200,"みなべ町東本庄100-0","","指定緊急避難場所","指定避難所"
"みなべ町社会福祉センター","片町  新町","-","みなべ町","避難所を兼ねる避難場所","洪水　地震　津波　大規模な火事","津波浸水予測地域","☆☆☆","","耐震　","","","","",8,135.323451,33.766047,"","","",0,0,300,300,"みなべ町芝447-2","","指定緊急避難場所","指定避難所"
"みなべ町介護予防センター","晩稲","","みなべ町","避難所を兼ねる避難場所","洪水　地震　津波　大規模な火事","","☆☆☆","","耐震　","","","","",11,135.336496,33.785848,"","","",0,0,20,20,"みなべ町晩稲148-1","","",""
"東岩代集落センター","東岩代","","みなべ町","避難所を兼ねる避難場所","洪水　地震　津波　大規模な火事","土砂災害予測地域　浸水予測地域　","☆","☆☆","耐震　","","","","",19.6,135.2883496,33.78653325,"","","",0,0,66,66,"みなべ町東岩代903-1","","指定緊急避難場所",""
"さくら会館","片町 芝崎","-","みなべ町","避難所を兼ねる避難場所","洪水　地震　津波　大規模な火事","土砂災害予測地域　浸水予測地域　","☆","","耐震　","","","","",31.1,135.329045,33.76912,"","","",0,0,25,25,"みなべ町芝7-2","","",""
"旧清川中学校　校舎","軽井川","","みなべ町","避難所を兼ねる避難場所","洪水　地震　大規模な火事","","☆☆☆","","耐震　","有","○","","簡易トイレ",160.1,135.399451,33.854582,"","","",0,0,300,300,"みなべ町清川2202-0","","",""
"うめ振興館","谷口","","みなべ町","避難所を兼ねる避難場所","洪水　地震　津波　大規模な火事","土砂災害予測地域　浸水予測地域　","☆☆☆","☆☆☆","耐震　","","","","",12.3,135.327094,33.790697,"","","",0,0,200,200,"みなべ町谷口538-1","","指定緊急避難場所","指定避難所"
"清川公民館","軽井川","","みなべ町","避難所を兼ねる避難場所","洪水　地震　大規模な火事","","☆☆☆","","耐震　","有","○","○","非常食、飲料水、毛布、簡易トイレほか",160.2,135.398804,33.8533465,"","","",0,0,200,200,"みなべ町清川2223-3","","指定緊急避難場所","指定避難所"
"高城公民館","広野  滝","","みなべ町","避難所を兼ねる避難場所","洪水　大規模な火事","","☆☆☆","","耐震化済　","有","○","○","非常食、飲料水、毛布、簡易トイレほか",63,135.3556716,33.8468251,"","","",0,0,200,200,"みなべ町広野9-0","","指定緊急避難場所","指定避難所"
"熊岡区民会館","熊岡 晩稲","","みなべ町","避難所を兼ねる避難場所","洪水　大規模な火事","土砂災害予測地域　浸水予測地域　","☆☆","","耐震　","有","○","","毛布",7,135.335794,33.77933,"","","",0,0,50,50,"みなべ町熊岡386-0","","",""
"みなべ町生涯学習センター","谷口 東本庄","-","みなべ町","避難所を兼ねる避難場所","洪水　地震　津波　大規模な火事","土砂災害予測地域　浸水予測地域　","☆☆☆","☆☆☆","耐震　","有","○","○","非常食、飲料水、毛布、簡易トイレほか",10.9,135.330586,33.791589,"○","","○",0,0,300,300,"みなべ町谷口301-4","","指定緊急避難場所","指定避難所"
"岩代小学校　校舎","東岩代 西岩代","-","みなべ町","避難所を兼ねる避難場所","洪水　地震　津波　大規模な火事","土砂災害予測地域　","☆☆","☆☆","耐震　","有","○","○","非常食、飲料水、毛布",26,135.281427,33.781675,"","","",0,0,150,150,"みなべ町西岩代2162-0","","指定緊急避難場所","指定避難所"
"南部公民館","片町  外","津波は3階以上","みなべ町","避難所を兼ねる避難場所","洪水　地震　津波　大規模な火事","津波浸水予測地域","☆☆☆","☆","耐震　","有","○","○","非常食、飲料水、毛布、簡易トイレほか",6.5,135.322566,33.765499,"","","",0,0,100,100,"みなべ町芝503-0","","指定緊急避難場所","指定避難所"
