名称,避難が予想される住民の地区名,,,指定場所,市町村名,種別,災害区分,"土砂災害・浸水・津波浸水予測地域","緊急避難先レベル",,耐震性,備蓄の有無,備蓄品目,,,標高（m）,"経度：東経(世界測地系10進法)","緯度：北緯(世界測地系10進法)",発電機,,,"施設面積（㎡）",,収容人数,収容人数(一時）,所在地,備考
,,,,,,,,,風水害,津波,,,備蓄の有無,食料の有無,備蓄品目,,,,発電機の有無,発動発電機（可搬型）,自家発電機,屋内,屋外,,,,
中央公民館,網代,,,,由良町,避難所を兼ねる避難場所,洪水　高潮　地震　津波,津波浸水予測地域,☆☆☆,,耐震　,,,,,2,135.1149211 ,33.9609785 ,○,,○,654,,327,,由良町大字網代248-12,
専福寺,江ノ駒,,,,由良町,避難所を兼ねる避難場所,地震　津波,土砂災害予測地域　,☆（注）,☆☆☆,耐震　,,,,,16.1,135.1136149 ,33.9650771 ,,,,70,,35,,由良町大字江ノ駒117,
西教寺,衣奈,,,※地震時は屋外のみ,由良町,避難所を兼ねる避難場所,崖崩れ・土石流及び地滑り　地震　津波,土砂災害予測地域　,☆（注）,☆☆,,,,,,7.6,135.1075351 ,33.9866806 ,,,,21,,10,,由良町大字衣奈281,
吹井老人憩の家,吹井  柳原,,,※地震時は屋外のみ,由良町,避難所を兼ねる避難場所,高潮　地震　津波,津波浸水予測地域,☆,,,,,,,3.2,135.1017273 ,33.9670702 ,,,,80,,40,,由良町大字吹井969-3,
吹井活性化支援センター,吹井,,,,由良町,避難所を兼ねる避難場所,崖崩れ・土石流及び地滑り　地震　津波,土砂災害予測地域　浸水予測地域　,☆,☆,耐震　,有,○,,資機材,10.8,135.1002010 ,33.9692190 ,,,,54,,27,,由良町大字吹井390-1,
神谷老人憩の家,神谷,,,※地震時は屋外のみ,由良町,避難所を兼ねる避難場所,地震　津波,,☆☆☆,☆,,,,,,,135.0851589 ,33.9585139 ,,,,90,,45,,由良町大字神谷241,宅盤5.2ｍ2階10.8ｍ
信行寺,衣奈,,,※地震時は屋外のみ,由良町,避難所を兼ねる避難場所,崖崩れ・土石流及び地滑り　地震　津波,土砂災害予測地域　津波浸水予測地域,☆（注）,☆,,,,,,7.1,135.1042700 ,33.9887545 ,,,,57,,28,,由良町大字衣奈99,
浄明寺,大引,,,※地震時は屋外のみ,由良町,避難所を兼ねる避難場所,崖崩れ・土石流及び地滑り　地震　津波,土砂災害予測地域　,☆（注）,☆☆☆,,,,,,12.2,135.0857319 ,33.9700615 ,,,,209,,104,,由良町大字大引710,
小引円明寺,小引,,,※地震時は屋外のみ,由良町,避難所を兼ねる避難場所,洪水　地震　津波,土砂災害予測地域　,☆（注）,☆☆☆,,,,,,12.3,135.0918518 ,33.9818627 ,,,,60,,30,,由良町大字小引450,
小引コミュニティセンター,小引,,,※地震時は屋外のみ,由良町,避難所を兼ねる避難場所,地震　津波,土砂災害予測地域　津波浸水予測地域,☆,☆,,,,,,,135.0914780 ,33.9827960 ,,,,61,,30,,由良町大字小引468,宅盤6.0ｍ2階10.7ｍ
三尾川集落センター,三尾川,,,,由良町,避難所を兼ねる避難場所,崖崩れ・土石流及び地滑り　地震　津波,土砂災害予測地域　,☆☆,☆☆☆,耐震　,有,○,,資機材,18.8,135.1342760 ,33.9967114 ,,,,56,,28,,由良町大字三尾川294,
江ノ駒老人憩の家,江ノ駒,,,※地震時は屋外のみ,由良町,避難所を兼ねる避難場所,地震　津波,津波浸水予測地域,☆☆☆,☆,,有,○,,資機材,7,135.1152474 ,33.9651647 ,,,,80,,40,,由良町大字江ノ駒220-3,
光台寺,糸谷,,,※地震時は屋外のみ,由良町,避難所を兼ねる避難場所,崖崩れ・土石流及び地滑り　地震　津波,土砂災害予測地域　津波浸水予測地域,☆（注）,,,有,○,,資機材,6.3,135.0992816 ,33.9631723 ,,,,33,,16,,由良町大字吹井701,
光専寺,横浜,,,,由良町,避難所を兼ねる避難場所,洪水　高潮　地震　津波,津波浸水予測地域,☆☆,,,,,,,3.2,135.1199041 ,33.9610313 ,,,,100,,50,,由良町大字里118,
戸津井老人憩の家,戸津井,,,,由良町,避難所を兼ねる避難場所,地震　津波,土砂災害予測地域　津波浸水予測地域,☆（注）,,耐震　,,,,,4,135.0950623 ,33.9883282 ,,,,53,,26,,由良町大字戸津井93,
戸津井円明寺,戸津井,,,※地震時は屋外のみ,由良町,避難所を兼ねる避難場所,地震　津波,土砂災害予測地域　,☆☆☆,☆☆,,有,○,,資機材,9.5,135.0953057 ,33.9878512 ,,,,70,,35,,由良町大字戸津井203,
興国寺,門前,,,※地震時は屋外のみ,由良町,避難所を兼ねる避難場所,地震　津波,土砂災害予測地域　,☆,☆☆☆,,,,,,49.2,135.1255819 ,33.9772560 ,,,,230,,115,,由良町大字門前801,
教専寺,阿戸,,,※地震時は屋外のみ,由良町,避難所を兼ねる避難場所,崖崩れ・土石流及び地滑り　地震　津波,土砂災害予測地域　,☆（注）,☆☆,,,,,,11.6,135.1136407 ,33.9544924 ,,,,100,,50,,由良町大字阿戸244,
旧白崎中学校,神谷,,,,由良町,避難所を兼ねる避難場所,地震　津波,津波浸水予測地域,☆☆☆,☆,耐震　,有,○,,資機材は、浸水外（建物内）に備蓄。,,135.0847096 ,33.9585350 ,,,,1023,,511,,由良町大字神谷213,宅盤5.9ｍ2階11.1ｍ
旧衣奈中学校,衣奈,,,,由良町,避難所を兼ねる避難場所,洪水　地震　津波,,☆☆☆,☆☆☆,耐震　,有,○,,資機材,9.9,135.1105693 ,33.9846840 ,,,,929,,464,,由良町大字衣奈680,
