,11,12,13,20,30,,,,,,,,A2,B0,C3,C4,,,,,,,,,
,,,,,,,,,,,,備蓄,,標高（m）,,,,,,,,,,,
羽衣町内会避難所２,東白浜,,,,白浜町,屋外避難先 ,津波 ,,,☆☆☆,,,,36.9,135.353917,33.677575,デイサービースセンターぱる敷地,,,白浜町3249番15,,,,,
羽衣町内会避難所３,東白浜,,,,白浜町,屋外避難先 ,津波 ,,,☆☆☆,,,,22.2,135.357896,33.682378,コガノイベイホテル敷地,,,白浜町3212番1,,,,,
羽衣町内会避難所４,東白浜,,,,白浜町,屋内避難先 ,津波 ,津波浸水予測地域,,☆☆,,,,3.2,135.357194,33.680503,近畿大学白浜セミナーハウス,,,白浜町2762番4,,,,,
羽衣町内会避難所５,東白浜,,,,白浜町,屋外避難先 ,津波 ,,,☆☆☆,,,,19.3,135.361917,33.677309,,,,白浜町3150番6,,,,,
羽衣町内会避難所６,東白浜,,,,白浜町,屋外避難先 ,津波 ,,,☆☆☆,,,,20.1,135.35916,33.673576,修心院・金閣寺,,,白浜町3183番,,,,,
羽衣町内会避難所７,東白浜,,,,白浜町,屋外避難先 ,津波 ,津波浸水予測地域,,☆☆,耐震性有り,,,3,135.363563,33.676875,白浜なぎさホーム,,,白浜町3148番38,,,,,
羽衣町内会避難所８,東白浜,,,,白浜町,屋外避難先 ,津波 ,,,☆☆☆,,,,7.5,135.364479,33.676545,,,,白浜町3031番14,,,,,
羽衣町内会避難所９,東白浜,,,,白浜町,屋外避難先 ,津波 ,,,☆☆☆,,,,22.3,135.364354,33.67783,,,,白浜町3031番217,,,,,
綱ゲートボール場,東白浜,,,,白浜町,屋外避難先 ,津波 ,,,☆☆☆,,,,11.5,135.351861,33.68662,,,,白浜町1068番1,,,,,
ホテル川久,東白浜,,,,白浜町,津波避難ビル ,津波 ,津波浸水予測地域,,☆☆,耐震性有り,,,2.6,135.357132,33.688223,,,,白浜町3745番2,,,,,
共同墓地（ゲートボール場）,東白浜,,,,白浜町,屋外避難先 ,津波 ,,,☆☆☆,,,,24.3,135.350083,33.688171,,,,白浜町1073番3,,,,,
