名称,避難が予想される住民の地区名,,,指定場所,市町村名,種別,災害区分,"土砂災害・浸水・津波浸水予測地域","緊急避難先レベル",,耐震性,備蓄の有無,備蓄品目,,,標高（m）,"経度：東経(世界測地系10進法)","緯度：北緯(世界測地系10進法)",発電機,,,"施設面積（㎡）",,収容人数,収容人数(一時）,所在地,備考
,,,,,,,,,風水害,津波,,,備蓄の有無,食料の有無,備蓄品目,,,,発電機の有無,発動発電機（可搬型）,自家発電機,屋内,屋外,,,,
小郷谷住宅付近,江住  ,,,津波避難目標地点,すさみ町,避難場所,津波,,,☆☆☆,,,,,,12,135.6057903 ,33.5137226 ,,,,,,,,すさみ町江住,
個人宅付近,江須之川  ,,,津波避難目標地点,すさみ町,避難場所,津波,,,☆☆☆,,,,,,22,135.5940449 ,33.5070493 ,,,,,,,,すさみ町江住,
個人宅付近,江須之川  ,,,津波避難目標地点,すさみ町,避難場所,津波,,,☆☆☆,,,,,,22,135.5949032 ,33.5071700 ,,,,,,,,すさみ町江住,
常栄寺,見老津  ,,,津波避難目標地点,すさみ町,避難場所,津波,,,☆☆☆,,,,,,17,135.5808431 ,33.5108132 ,,,,,,,,すさみ町見老津,
観流坊,見老津  ,,,津波避難目標地点,すさみ町,避難場所,津波,,,☆☆☆,,,,,,14,135.5796549 ,33.5114416 ,,,,,,,,すさみ町見老津,
個人宅付近裏山（おんどの山）,見老津  ,,,津波避難目標地点,すさみ町,避難場所,津波,,,☆☆☆,,,,,,17,135.5799419 ,33.5128415 ,,,,,,,,すさみ町見老津,
西平見,見老津  ,,,津波避難目標地点,すさみ町,避難場所,津波,,,☆☆☆,,,,,,19,135.5784988 ,33.5122467 ,,,,,,,,すさみ町見老津,
個人宅付近裏山,堀切  ,,,津波避難目標地点,すさみ町,避難場所,津波,,,☆☆☆,,,,,,16,135.4954201 ,33.5606812 ,,,,,,,,すさみ町周参見,
個人宅付近裏山,山崎  ,,,津波避難目標地点,すさみ町,避難場所,津波,,,☆☆☆,,,,,,15,135.4938805 ,33.5536672 ,,,,,,,,すさみ町周参見,
天神参道,平松  ,,,津波避難目標地点,すさみ町,避難場所,津波,,,☆☆☆,,,,,,27,135.4905948 ,33.5495475 ,,,,,,,,すさみ町周参見,
石橋墓地横砂防堰堤付近,石橋  ,,,津波避難目標地点,すさみ町,避難場所,津波,,,☆☆☆,,,,,,14,135.4992396 ,33.5517672 ,,,,,,,,すさみ町周参見,
石橋墓地裏上段,石橋  ,,,津波避難目標地点,すさみ町,避難場所,津波,,,☆☆☆,,,,,,8,135.4989231 ,33.5516487 ,,,,,,,,すさみ町周参見,
背戸山,堀地  ,,,津波避難目標地点,すさみ町,避難場所,津波,,,☆☆☆,,,,,,36,135.4972145 ,33.5482062 ,,,,,,,,すさみ町周参見,
万福寺裏山,堀地  ,,,津波避難目標地点,すさみ町,避難場所,津波,,,☆☆☆,,,,,,70,135.4971233 ,33.5474730 ,,,,,,,,すさみ町周参見,
谷口渡船裏山,口和深  ,,,津波避難目標地点,すさみ町,避難場所,津波,,,☆☆☆,,,,,,16,135.5151182 ,33.5307772 ,,,,,,,,すさみ町口和深,
個人宅裏畑,口和深  ,,,津波避難目標地点,すさみ町,避難場所,津波,,,☆☆☆,,,,,,13,135.5182457 ,33.5296928 ,,,,,,,,すさみ町口和深,
個人宅付近裏山,口和深  ,,,津波避難目標地点,すさみ町,避難場所,津波,,,☆☆☆,,,,,,12,135.5177495 ,33.5293574 ,,,,,,,,すさみ町口和深,
イブファーム,下地一  ,,,RC-3F・屋上　一時避難ビル,すさみ町,避難場所,津波,,,☆,,,,,,6,135.4949346 ,33.5448821 ,,,,,,,,すさみ町周参見,
個人宅付近裏山,堀切  ,,,津波避難目標地点,すさみ町,避難場所,津波,,,☆☆☆,,,,,,20,135.4962833 ,33.5575556 ,,,,,,,,すさみ町周参見,
個人宅付近裏山,堀切  ,,,津波避難目標地点,すさみ町,避難場所,津波,,,☆☆☆,,,,,,20,135.4955570 ,33.5609990 ,,,,,,,,すさみ町周参見,
