,11,12,13,20,30,,,,,,,,A2,B0,C3,C4,,,,,
,,,,,,,,,,,,備蓄,,標高（m）,,,,,,,
避難先名称,"避難が予想される
住民の地区名",,,指定場所,市町村名,避難種別,避難所区分,"土砂災害・浸水・
津波浸水予測地域","（風水害）
緊急避難先レベル","（津波）
緊急避難先レベル",耐震性,備蓄の有無,備蓄品目,,"経度：東経
(世界測地系10進法)","緯度：北緯
(世界測地系10進法)",備考１,"備考２
（発電機有無）",収容人数,所在地,
藤並公民館,要援護者中心,,,,有田川町,避難所 屋内避難先 ,風水害 地震,,☆☆☆,,耐震性有り,,備蓄品保管施設（２箇所）にて有り,,135.207659,34.0605947,,,50,有田川町天満388-1,
町立藤並小学校,天満地区,水尻地区,他,,有田川町,屋内避難先 ,風水害 地震,,☆☆☆,,耐震性有り,,備蓄品保管施設（２箇所）にて有り,,135.2076229,34.0616423,,,500,有田川町天満439-1,
町立吉備中学校,一ツ松地区,植野地区,他,,有田川町,屋内避難先 ,風水害 ,,☆☆☆,,,,備蓄品保管施設（２箇所）にて有り,,135.2141573,34.0628786,,,500,有田川町下津野1234,
きびドーム,高瀬地区,,,,有田川町,避難所 屋内避難先 ,風水害 地震,土砂災害浸水予測地域 ,☆☆,,耐震性有り,,備蓄品保管施設（２箇所）にて有り,,135.217285,34.057422,,発電機有り ,100,有田川町下津野2021,
有田中央高校,北筋地区,長田地区,他,,有田川町,屋内避難先 ,風水害 地震,,☆☆☆,,耐震性有り,,備蓄品保管施設（２箇所）にて有り,,135.217018,34.06675,,,1000,有田川町下津野460,
地域交流センター,野田地区,小島地区,上中島地区,,有田川町,避難所 屋内避難先 ,風水害 地震,,☆☆☆,,耐震性有り,,備蓄品保管施設（２箇所）にて有り,,135.209663,34.067823,,発電機有り ,420,有田川町下津野704,
下湯川ふるさと村施設,下湯川地区,,,,有田川町,避難所 屋内避難先 ,風水害 地震,土砂災害浸水予測地域 ,☆,,耐震性有り,,備蓄品保管施設（２箇所）にて有り,,135.4499231,34.0602406,,,50,有田川町下湯川726-1,
町立田殿小学校,田口地区,大谷地区,他,,有田川町,屋内避難先 ,風水害 地震,,☆☆☆,,耐震性有り,,備蓄品保管施設（２箇所）にて有り,,135.2142637,34.0787012,,,400,有田川町井口47,
きび保健福祉センター,地震時福祉避難所として利用,,,,有田川町,避難所 屋内避難先 ,地震,,,,耐震性有り,,備蓄品保管施設（２箇所）にて有り,,135.216132,34.07368,,,150,有田川町角75-1,
田殿公民館,地震時長田地区,出地区,角地区,,有田川町,避難所 屋内避難先 ,地震,,,,耐震性有り,,備蓄品保管施設（２箇所）にて有り,,135.2110216,34.0738206,,,50,有田川町長田174-3,
御霊地区コミュニティセンター,庄一地区,,,,有田川町,避難所 屋内避難先 ,風水害 地震,,☆☆☆,,耐震性有り,,備蓄品保管施設（２箇所）にて有り,,135.2402338,34.0652993,,,70,有田川町庄32-4,
町立御霊小学校,上徳田地区,下徳田地区,他,,有田川町,屋内避難先 ,風水害 地震,,☆☆☆,,耐震性有り,,備蓄品保管施設（２箇所）にて有り,,135.2411616,34.0637526,,,400,有田川町庄35,
きび会館,庄二地区,垣倉地区,畑浦地区,,有田川町,避難所 屋内避難先 ,風水害 地震,,☆☆☆,,耐震性有り,,備蓄品保管施設（２箇所）にて有り,,135.2322935,34.070782,,,200,有田川町庄814-1,
きび体育館,東丹生図地区,西丹生図地区,吉見地区,,有田川町,避難所 屋内避難先 ,風水害 地震,,☆☆☆,,耐震性有り,,備蓄品保管施設（２箇所）にて有り,,135.2327501,34.0708258,,,500,有田川町庄814-2,
石垣公民館,松原地区,,,,有田川町,避難所 屋内避難先 ,風水害 地震,土砂災害浸水予測地域 ,☆,,耐震性有り,,備蓄品保管施設（２箇所）にて有り,,135.2565122,34.0426395,,,50,有田川町吉原1421-1,
石垣小学校,吉原地区,歓喜寺地区,,,有田川町,屋内避難先 ,風水害 地震,,☆☆☆,,耐震性有り,,備蓄品保管施設（２箇所）にて有り,,135.2529169,34.0492023,,,200,有田川町吉原792-1,
糸川地区多目的集会所,糸川地区,,,,有田川町,避難所 屋内避難先 ,風水害 地震,,☆☆☆,,耐震性有り,,備蓄品保管施設（２箇所）にて有り,,135.153701,34.014638,,,50,有田川町糸川76-1,
修理川小学校,修理川地区,,,,有田川町,屋内避難先 ,風水害 地震,土砂災害浸水予測地域 ,☆,,耐震性有り,,備蓄品保管施設（２箇所）にて有り,,135.2911705,34.0327081,,,100,有田川町修理川694-1,
石垣公民館宇井苔分館,宇井苔地区,,,,有田川町,避難所 屋内避難先 ,風水害 ,土砂災害浸水予測地域 ,☆,,,,備蓄品保管施設（２箇所）にて有り,,135.3348746,34.0149791,,,50,有田川町宇井苔216-2,
小川小学校,伏羊地区,吉田地区,他,,有田川町,屋内避難先 ,風水害 地震,,☆☆☆,,耐震性有り,,備蓄品保管施設（２箇所）にて有り,,135.2678955,34.0726589,,,100,有田川町小川610,
鳥屋城公民館,中井原地区,,,,有田川町,避難所 屋内避難先 ,風水害 地震,,☆☆☆,,耐震性有り,,備蓄品保管施設（２箇所）にて有り,,135.2548403,34.0639541,,,100,有田川町中井原154,
金屋中学校,中野地区,長谷川地区,,,有田川町,屋内避難先 ,風水害 地震,,☆☆☆,,耐震性有り,,備蓄品保管施設（２箇所）にて有り,,135.2590976,34.0654427,,,500,有田川町中井原252,
鳥屋城小学校,市場地区,金屋地区,,,有田川町,屋内避難先 ,風水害 地震,,☆☆☆,,耐震性有り,,備蓄品保管施設（２箇所）にて有り,,135.2505529,34.0666052,,,476,有田川町金屋647,
旧峯口小学校,岩野河地区,,,,有田川町,避難所 屋内避難先 ,風水害 地震,土砂災害浸水予測地域 ,☆,,耐震性有り,,備蓄品保管施設（２箇所）にて有り,,135.3203476,34.0526253,,,200,有田川町岩野河5,
岩倉公民館,岩野河地区,,,,有田川町,避難所 屋内避難先 ,風水害 地震,土砂災害浸水予測地域 ,☆,,耐震性有り,,備蓄品保管施設（２箇所）にて有り,,135.3198958,34.0530138,,,50,有田川町川口1001-1,
川口地区集会所,川口地区,,,,有田川町,避難所 屋内避難先 ,風水害 地震,,☆☆☆,,耐震性有り,,備蓄品保管施設（２箇所）にて有り,,135.184866,34.025342,,,90,有田川町川口213,
谷地区集会所,谷地区,,,,有田川町,避難所 屋内避難先 ,風水害 地震,土砂災害浸水予測地域 ,☆,,耐震性有り,,備蓄品保管施設（２箇所）にて有り,,135.194567,34.041446,,,35,有田川町谷262-2,
立石地区集会所,立石地区,,,,有田川町,避難所 屋内避難先 ,風水害 地震,土砂災害浸水予測地域 ,☆,,耐震性有り,,備蓄品保管施設（２箇所）にて有り,,135.183865,34.035951,,,30,有田川町立石610,
旧北小学校,彦ヶ瀬地区,瀬井地区,畦田地区,,有田川町,避難所 屋内避難先 ,風水害 地震,,☆☆☆,,耐震性有り,,備蓄品保管施設（２箇所）にて有り,,135.2900489,34.1126253,,,50,有田川町瀬井629,
西ヶ峯小学校,西ヶ峯地区,西ヶ峯下地区,,,有田川町,避難所 屋内避難先 ,風水害 地震,土砂災害浸水予測地域 ,☆,,耐震性有り,,備蓄品保管施設（２箇所）にて有り,,135.278428,34.093944,,,100,有田川町西ヶ峯1489,
五西月小学校,中,中峯,他,,有田川町,避難所 屋内避難先 ,風水害 地震,土砂災害浸水予測地域 ,☆,,耐震性有り,,備蓄品保管施設（２箇所）にて有り,,135.2898907,34.0910034,,,100,有田川町本堂252-2,
旧早月小学校,延坂地区,西薗地区,他,,有田川町,避難所 屋内避難先 ,風水害 地震,土砂災害浸水予測地域 ,☆,,耐震性有り,,備蓄品保管施設（２箇所）にて有り,,135.3173462,34.0821145,,,100,有田川町尾上13-1,
旧生石小学校,生石地区,,,,有田川町,避難所 屋内避難先 ,風水害 地震,,☆☆☆,,耐震性有り,,備蓄品保管施設（２箇所）にて有り,,135.322975,34.092542,,,100,有田川町生石41,
生石公民館,丹生地区,糸野地区,下六川地区,,有田川町,避難所 屋内避難先 ,風水害 地震,,☆☆☆,,耐震性有り,,備蓄品保管施設（２箇所）にて有り,,135.2455248,34.0704814,,,50,有田川町糸野302-1,
釜中地区集会所,釜中地区,,,,有田川町,避難所 屋内避難先 ,風水害 ,土砂災害浸水予測地域 ,☆,,,,備蓄品保管施設（２箇所）にて有り,,135.244371,34.09399,,,35,有田川町釜中318,
上六川小学校,上六川地区,黒松地区,西地区,,有田川町,屋内避難先 ,風水害 地震,土砂災害浸水予測地域 ,☆☆,,耐震性有り,,備蓄品保管施設（２箇所）にて有り,,135.2547344,34.09618,,,100,有田川町上六川136,
粟生小学校体育館,粟生地区,,,,有田川町,屋内避難先 ,風水害 地震,土砂災害浸水予測地域 ,☆,,耐震性有り,,備蓄品保管施設（２箇所）にて有り,,135.3423118,34.0479757,,,125,有田川町粟生428,
粟生住民センター,粟生地区,,,,有田川町,避難所 屋内避難先 ,風水害 地震,土砂災害浸水予測地域 ,☆,,耐震性有り,,備蓄品保管施設（２箇所）にて有り,,135.34379,34.048099,,,17,有田川町粟生442-1,
五郷地区コミュニティセンター,中原地区,,,,有田川町,避難所 屋内避難先 ,風水害 地震,土砂災害浸水予測地域 ,☆,,耐震性有り,,備蓄品保管施設（２箇所）にて有り,,135.3856881,34.0482035,,,45,有田川町中原465,
五郷地区生活改善センター,川合地区,,,,有田川町,避難所 屋内避難先 ,風水害 地震,土砂災害浸水予測地域 ,☆,,耐震性有り,,備蓄品保管施設（２箇所）にて有り,,135.3887505,34.0501828,,,55,有田川町川合247,
二澤地区集会所,二澤地区,北野川地区,,,有田川町,避難所 屋内避難先 ,風水害 ,土砂災害浸水予測地域 ,☆,,,,備蓄品保管施設（２箇所）にて有り,,135.3957097,34.0504207,,,15,有田川町二澤40-1,
三瀬川消防詰所,三瀬川地区,,,,有田川町,避難所 屋内避難先 ,風水害 ,土砂災害浸水予測地域 ,☆,,,,備蓄品保管施設（２箇所）にて有り,,135.386887,34.064028,,,5,有田川町三瀬川,
三瀬川コミュニティセンター,三瀬川地区,,,,有田川町,避難所 屋内避難先 ,風水害 地震,土砂災害浸水予測地域 ,☆,,耐震性有り,,備蓄品保管施設（２箇所）にて有り,,135.3849211,34.0628686,,,20,有田川町三瀬川241,
東大谷生活改善センター,東大谷地区,,,,有田川町,避難所 屋内避難先 ,風水害 地震,土砂災害浸水予測地域 ,☆,,耐震性有り,,備蓄品保管施設（２箇所）にて有り,,135.3486307,34.0724978,,,20,有田川町東大谷130,
日物川コミュニティセンター,日物川地区,,,,有田川町,避難所 屋内避難先 ,風水害 ,土砂災害浸水予測地域 ,☆,,,,備蓄品保管施設（２箇所）にて有り,,135.3701922,34.0757014,,,70,有田川町日物川566-3,
城山西小学校体育館,二川地区,,,,有田川町,屋内避難先 ,風水害 地震,土砂災害浸水予測地域 ,☆,,耐震性有り,,備蓄品保管施設（２箇所）にて有り,,135.356946,34.070195,,,189,有田川町二川361,
城山公民館,二川地区,,,,有田川町,避難所 屋内避難先 ,風水害 地震,土砂災害浸水予測地域 ,☆,,耐震性有り,,備蓄品保管施設（２箇所）にて有り,,135.357588,34.0705868,,,55,有田川町二川398-1,
境川コミュニティセンター,境川地区,,,,有田川町,避難所 屋内避難先 ,風水害 地震,土砂災害浸水予測地域 ,☆,,耐震性有り,,備蓄品保管施設（２箇所）にて有り,,135.385255,34.0809962,,,20,有田川町境川211,
楠本小学校体育館,楠本地区,,,,有田川町,屋内避難先 ,風水害 地震,土砂災害浸水予測地域 ,☆,,耐震性有り,,備蓄品保管施設（２箇所）にて有り,,135.3651109,34.0993787,,,80,有田川町楠本149-2,
沼区民センター,沼地区,,,,有田川町,避難所 屋内避難先 ,風水害 地震,土砂災害浸水予測地域 ,☆,,耐震性有り,,備蓄品保管施設（２箇所）にて有り,,135.3868983,34.1013337,,,55,有田川町沼1415,
遠井コミュニティセンター,遠井地区,,,,有田川町,避難所 屋内避難先 ,風水害 地震,土砂災害浸水予測地域 ,☆,,耐震性有り,,備蓄品保管施設（２箇所）にて有り,,135.399908,34.1087517,,,35,有田川町遠井443,
三田活性化センター,三田地区,,,,有田川町,避難所 屋内避難先 ,風水害 地震,土砂災害浸水予測地域 ,☆,,耐震性有り,,備蓄品保管施設（２箇所）にて有り,,135.4150386,34.0945853,,,21,有田川町三田461-2,
宮川地区集会所,宮川地区,,,,有田川町,避難所 屋内避難先 ,風水害 ,土砂災害浸水予測地域 ,☆,,,,備蓄品保管施設（２箇所）にて有り,,135.4326989,34.1016353,,,86,有田川町宮川647,
大蔵へき地集会所,大蔵地区,,,,有田川町,避難所 屋内避難先 ,風水害 地震,土砂災害浸水予測地域 ,☆,,耐震性有り,,備蓄品保管施設（２箇所）にて有り,,135.446627,34.1157419,,,15,有田川町大蔵175,
有田中央高校清水分校体育館,清水地区,,,,有田川町,屋内避難先 ,風水害 地震,,☆☆☆,,耐震性有り,,備蓄品保管施設（２箇所）にて有り,,135.260228,34.051622,,,275,有田川町清水1028,
小峠活性化センター,清水地区,,,,有田川町,避難所 屋内避難先 ,風水害 地震,土砂災害浸水予測地域 ,☆,,耐震性有り,,備蓄品保管施設（２箇所）にて有り,,135.423307,34.092116,,,9,有田川町清水127-3,
八幡小学校体育館,清水地区,,,,有田川町,屋内避難先 ,風水害 地震,,☆☆☆,,耐震性有り,,備蓄品保管施設（２箇所）にて有り,,135.4281018,34.0857509,,,180,有田川町清水274,
久野原小学校体育館,久野原地区,,,,有田川町,屋内避難先 ,風水害 地震,土砂災害浸水予測地域 ,☆,,耐震性有り,,備蓄品保管施設（２箇所）にて有り,,135.4522156,34.0966325,,,160,有田川町久野原1235,
清水公民館上湯川分館,上湯川地区,,,,有田川町,避難所 屋内避難先 ,風水害 ,土砂災害浸水予測地域 ,☆,,,,備蓄品保管施設（２箇所）にて有り,,135.4959383,34.063356,,,20,有田川町上湯川426-1,
井谷コミュニティセンター,井谷地区,室川地区,,,有田川町,避難所 屋内避難先 ,風水害 地震,土砂災害浸水予測地域 ,☆,,耐震性有り,,備蓄品保管施設（２箇所）にて有り,,135.4805572,34.1118659,,,15,有田川町井谷170,
安諦地区基幹集落センター,板尾地区,,,,有田川町,避難所 屋内避難先 ,風水害 地震,,☆☆☆,,耐震性有り,,備蓄品保管施設（２箇所）にて有り,,135.490469,34.119272,,,60,有田川町板尾219-3,
安諦中学校体育館,板尾地区,,,,有田川町,避難所 屋内避難先 ,風水害 地震,,☆☆☆,,耐震性有り,,備蓄品保管施設（２箇所）にて有り,,135.4938103,34.1204683,,,230,有田川町板尾339,
杉野原活性化センター,杉野原地区,,,,有田川町,避難所 屋内避難先 ,風水害 地震,土砂災害浸水予測地域 ,☆,,耐震性有り,,備蓄品保管施設（２箇所）にて有り,,135.5028141,34.1179463,,,37,有田川町杉野原862,
押手活性館,押手地区,,,,有田川町,避難所 屋内避難先 ,風水害 地震,,☆☆☆,,耐震性有り,,備蓄品保管施設（２箇所）にて有り,,135.507642,34.126345,,,22,有田川町押出336-1,
沼谷地区集会所,沼谷地区,,,,有田川町,避難所 屋内避難先 ,風水害 地震,土砂災害浸水予測地域 ,☆,,耐震性有り,,備蓄品保管施設（２箇所）にて有り,,135.4681336,34.131756,,,50,有田川町沼谷272,
