名称,避難が予想される住民の地区名,,,指定場所,市町村名,種別,災害区分,"土砂災害・浸水・津波浸水予測地域","緊急避難先レベル",,耐震性,備蓄の有無,備蓄品目,,,標高（m）,"経度：東経(世界測地系10進法)","緯度：北緯(世界測地系10進法)",発電機,,,"施設面積（㎡）",,収容人数,収容人数(一時）,所在地,備考
,,,,,,,,,風水害,津波,,,備蓄の有無,食料の有無,備蓄品目,,,,発電機の有無,発動発電機（可搬型）,自家発電機,屋内,屋外,,,,
田中小学校高野分校（体育館）,高野  五百谷,,,,紀の川市,避難所を兼ねる避難場所,洪水　高潮　内水氾濫　地震　津波,土砂災害予測地域　,☆,,耐震　,有,○,○,組立トイレ、毛布、アルファ米、パン、飲料水等,156,135.3773910 ,34.2323593 ,,,,424,,230,,紀の川市高野595,
田中小学校（体育館）,上野 打田 上芝 窪 小田 竹房 黒土 花野 尾崎 畑野上 中井阪,,,,紀の川市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波,,☆☆☆,,耐震　,,,,,31,135.3648510 ,34.2582073 ,,,,953,,520,,紀の川市打田1491,
長田小学校（体育館）,北志野  南志野  北長田 北長田第２３ 紀伊長田団地 上田井 高陽園 嶋 長田中 別所 白水園,,,,紀の川市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波,,☆☆☆,,耐震　,有,○,,簡易トイレ、毛布等,67,135.3878930 ,34.2746798 ,,,,457,,360,,紀の川市長田中531-7,
調月小学校（体育館）,調月（南 中）,,,,紀の川市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波,,☆☆☆,,耐震　,有,○,,簡易トイレ、毛布等,26,135.3320010 ,34.2275380 ,,,,613,,330,,紀の川市桃山町　調月1101,
中尾集会所,中尾,,,,紀の川市,避難所を兼ねる避難場所,洪水　高潮　内水氾濫　地震　津波,土砂災害予測地域　,☆☆☆,,耐震　,有,○,○,毛布、飲料水、アルファ米,88,135.4479350 ,34.3272921 ,,,,75,,40,,紀の川市平野2092,
中貴志小学校（体育館）,上野山  国主  国主台,,,,紀の川市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波,,☆☆☆,,耐震　,,,,,38,135.3123320 ,34.2175879 ,,,,1267,,690,,紀の川市貴志川町　上野山55,
池田小学校（体育館）,南中 重行 池田新 北中 神領 東山田 西山田 登尾 枇杷谷 豊田 東三谷 中三谷 西三谷 もみじヶ丘 古和田 石畑毛 中嶋 粟嶋,,,,紀の川市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波,,☆☆☆,,耐震　,,,,,58,135.3543410 ,34.2776994 ,,,,988,,540,,紀の川市南中327,
打田中学校（体育館・格技場）,広野  赤尾  久留壁 南勢田 北勢田 東八光 東国分 角ノ町 上川 桜ヶ丘 高畝 粟嶋,,,,紀の川市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波,,☆☆☆,,耐震　,,,,,48,135.3639150 ,34.2682055 ,,,,2384,,1240,,紀の川市東大井345,
川原小学校（体育館）,馬宿  上丹生谷  下丹生谷 西川原 東川原 野上,,,,紀の川市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波,,☆☆☆,,耐震　,有,○,,簡易トイレ、毛布等,110,135.4275750 ,34.2916528 ,,,,739,,400,,紀の川市野上126,
赤沼田集会所,赤沼田上,,,,紀の川市,避難所を兼ねる避難場所,洪水　高潮　内水氾濫　地震　津波,土砂災害予測地域　,☆,,耐震　,有,○,○,毛布、飲料水、アルファ米,374,135.4608200 ,34.2547283 ,,,,99,,55,,紀の川市赤沼田290,
西貴志小学校（体育館）,長原南 西山,,,,紀の川市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波,,☆☆☆,,耐震　,,,,,46,135.2985150 ,34.2140524 ,,,,1182,,640,,紀の川市貴志川町　長原167,
西貴志コミュニティセンター,長山  長山団地,,,,紀の川市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波,,☆☆☆,,耐震　,,,,,45,135.2980870 ,34.2134703 ,,,,1749,,300,,紀の川市貴志川町　長山24,
神通温泉施設,神通 中畑,,,,紀の川市,避難所を兼ねる避難場所,崖崩れ・土石流及び地滑り　,土砂災害予測地域　,☆☆,,耐震　,有,○,,飲料水、アルファ米、毛布,248,135.3767490 ,34.3226073 ,,,,,,70,,紀の川市神通150-1,
上鞆渕集会所,上鞆渕,,,,紀の川市,避難所を兼ねる避難場所,洪水　高潮　内水氾濫　地震　津波,土砂災害予測地域　,☆☆☆,,耐震　,有,○,○,毛布、飲料水、アルファ米,327,135.4740550 ,34.2269436 ,,,,90,,50,,紀の川市上鞆渕229-5,
上名手小学校（体育館）,名手上（東 西）  平野  佃 林ヶ峯,,,,紀の川市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波,,☆☆☆,,耐震　,,,,,127,135.4436700 ,34.2944554 ,,,,452,,250,,紀の川市江川中988,
細野生活改善センター,垣内  中畑  峯,,,,紀の川市,避難所を兼ねる避難場所,洪水　高潮　内水氾濫　地震　津波,土砂災害予測地域　,☆,,耐震　,有,○,,発電機、炊飯器、組立式仮設トイレ、簡易トイレ、毛布等,217,135.4223270 ,34.1888369 ,○,○,,190,,80,,紀の川市桃山町　中畑108-1,
荒川中学校（体育館）,元  段新田  百合 神田 安楽川団地,,,,紀の川市,避難所を兼ねる避難場所,崖崩れ・土石流及び地滑り　高潮　地震　津波,浸水予測地域　,☆☆,,耐震　,有,○,,組立式仮設トイレ、毛布等,25,135.3518230 ,34.2433647 ,,,,1761,,960,,紀の川市桃山町　元249,
