名称,避難が予想される住民の地区名,,,指定場所,市町村名,種別,災害区分,"土砂災害・浸水・津波浸水予測地域","緊急避難先レベル",,耐震性,備蓄の有無,備蓄品目,,,標高（m）,"経度：東経(世界測地系10進法)","緯度：北緯(世界測地系10進法)",発電機,,,"施設面積（㎡）",,収容人数,収容人数(一時）,所在地,備考
,,,,,,,,,風水害,津波,,,備蓄の有無,食料の有無,備蓄品目,,,,発電機の有無,発動発電機（可搬型）,自家発電機,屋内,屋外,,,,
※沿岸部からの退避,※沿岸部からの退避,,,※沿岸部からの退避,海南市,広域避難場所,,,☆☆☆,☆☆☆,,,,,,,135.1666330 ,34.1337829 ,,,,,,,,海南市下津町　塩津174-2,
巽小学校,巽,,,,海南市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　地震　,,☆☆☆,,耐震　,有,○,,毛布、トイレ袋、メガホン、救急箱、懐中電灯、ラジオ等,61,135.2562750 ,34.1552680 ,○,,○,,,899,1798,海南市重根1203,
総合体育館周辺,日方 大野 ,,,,海南市,避難場所,地震　津波,,,☆☆☆,,有,○,○,アルファ米、飲料水、耐震性貯水槽、毛布、保温シート、トイレ袋、トイレテント、簡易トイレ、ビニールシート、メガホン、救急箱、懐中電灯、ラジオ等,22,135.2305375 ,34.1564213 ,○,,○,,,,,海南市大野中1106,
冷水地区集会所,冷水,,,,海南市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　,津波浸水予測地域,☆,,耐震　,,,,,3,135.1883940 ,34.1426840 ,,,,,,81,162,海南市冷水325,
北野上小学校,北野上,,,,海南市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　地震　,,☆☆☆,,耐震　,有,○,,毛布、トイレ袋、メガホン、救急箱、懐中電灯、ラジオ等,51,135.2926409 ,34.1835526 ,○,,○,,,472,945,海南市孟子174,
北野上公民館,北野上,,,,海南市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　地震　,,☆☆☆,,耐震　,有,○,,毛布、トイレ袋、メガホン、救急箱、懐中電灯、ラジオ等,48,135.2975071 ,34.1842552 ,○,,○,,,121,242,海南市原野326-3,
防災センター（海南市消防本部）,日方 黒江 船尾,,,津波時は3階,海南市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　地震　津波,津波浸水予測地域,☆☆☆,☆,耐震　,有,○,○,アルファ米、飲料水、毛布、トイレ袋、ビニールシート、メガホン、救急箱、懐中電灯、ラジオ等,3,135.2052200 ,34.1565960 ,○,,○,,,93,250,海南市日方1294-13,
拝待体育館,下津,,,,海南市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　地震　,土砂災害予測地域　津波浸水予測地域,☆,,耐震　,有,○,,毛布、トイレ袋、メガホン、救急箱、懐中電灯、ラジオ等,5,135.1501890 ,34.1089604 ,○,,○,,,763,1526,海南市下津町　下津500-1,
日方小学校,日方,,,津波時は屋上,海南市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　地震　津波,津波浸水予測地域,☆☆☆,☆,耐震　,有,○,,毛布、トイレ袋、メガホン、救急箱、懐中電灯、ラジオ等,2,135.2103050 ,34.1572550 ,○,,○,,,729,450,海南市日方1257,
日方公民館,日方,,,,海南市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　地震　,土砂災害予測地域　浸水予測地域　,☆,,耐震　,有,○,,毛布、トイレ袋、メガホン、救急箱、懐中電灯、ラジオ等,5,135.2189838 ,34.1598067 ,○,,○,,,152,304,海南市日方839,
南野上小学校,南野上 巽,,,,海南市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　地震　,土砂災害予測地域　,☆,,耐震　,有,○,,毛布、トイレ袋、メガホン、救急箱、懐中電灯、ラジオ等,73,135.2715750 ,34.1482340 ,○,,○,,,419,839,海南市次ケ谷80,
南野上公民館,南野上 巽,,,,海南市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　地震　,土砂災害予測地域　,☆,,耐震　,有,○,,毛布、トイレ袋、メガホン、救急箱、懐中電灯、ラジオ等,70,135.2713129 ,34.1477157 ,○,,○,,,66,132,海南市次ケ谷80,
内海保育所,内海 大野,,,,海南市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　地震　,,☆☆☆,,耐震　,有,○,,トイレ袋、メガホン、救急箱、懐中電灯、ラジオ等,10,135.2193171 ,34.1500278 ,○,,○,,,95,190,海南市鳥居69,
内海小学校,内海,,,津波時は屋上,海南市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　地震　津波,津波浸水予測地域,☆☆☆,☆,耐震　,有,○,,毛布、トイレ袋、メガホン、救急箱、懐中電灯、ラジオ等,6,135.2139690 ,34.1495780 ,○,,○,,,785,550,海南市鳥居190,
内海公民館,内海,,,,海南市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　地震　,津波浸水予測地域,☆☆☆,,耐震　,有,○,○,アルファ米、飲料水、毛布、トイレ袋、メガホン、救急箱、懐中電灯、ラジオ等,2,135.2111551 ,34.1502993 ,○,,○,,,150,300,海南市鳥居650-1,
東海南中学校,北野上 中野上,,,,海南市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　地震　,土砂災害予測地域　浸水予測地域　,☆,,耐震　,有,○,,毛布、トイレ袋、メガホン、救急箱、懐中電灯、ラジオ等,42,135.2833740 ,34.1648310 ,○,,○,,,730,1461,海南市野上中590,
