名称,避難が予想される住民の地区名,,,指定場所,市町村名,種別,災害区分,"土砂災害・浸水・津波浸水予測地域","緊急避難先レベル",,耐震性,備蓄の有無,備蓄品目,,,標高（m）,"経度：東経(世界測地系10進法)","緯度：北緯(世界測地系10進法)",発電機,,,"施設面積（㎡）",,収容人数,収容人数(一時）,所在地,備考
,,,,,,,,,風水害,津波,,,備蓄の有無,食料の有無,備蓄品目,,,,発電機の有無,発動発電機（可搬型）,自家発電機,屋内,屋外,,,,
潮光園,湯浅,,,,湯浅町,福祉避難所,崖崩れ・土石流及び地滑り　地震　津波,土砂災害予測地域　津波浸水予測地域,,,耐震　,有,○,○,備蓄米、長期保存水、濃厚流動食,,135.1740570 ,34.0393739 ,○,○,,,,5,,湯浅町大字湯浅2600-3,
ケアランド湯浅,湯浅,,,,湯浅町,福祉避難所,地震　津波,津波浸水予測地域,,,,,,,,,135.1713824 ,34.0350606 ,,,,,,10,,湯浅町大字湯浅2834,
かぐのみ苑,湯浅,,,,湯浅町,福祉避難所,地震　,,,,耐震　,有,○,○,アルファ米、長期保存水、長期保存食料,,135.1856727 ,34.0373912 ,○,,○,,,25,,湯浅町大字湯浅2032-1,
小母ヶ谷,田,,,,湯浅町,避難場所,地震　津波,,,☆☆☆,,,,,,40,135.1539970 ,34.0577056 ,,,,,,100,,湯浅町大字田490,
Ｌ・ＶＡビル,湯浅,,,屋上,湯浅町,避難場所,地震　津波,津波浸水予測地域,,☆☆,耐震　,,,,,5.2,135.1830900 ,34.0384520 ,,,,,241,200,,湯浅町大字湯浅1940-5,1人/㎡
蓑田薬師堂裏山,田,,,,湯浅町,避難場所,地震　津波,土砂災害予測地域　,,☆☆☆,,,,,,16,135.1535220 ,34.0497468 ,,,,,,500,,湯浅町大字田1091,
野井坂,田,,,,湯浅町,避難場所,地震　津波,,,☆☆☆,,,,,,22.6,135.1479120 ,34.0565341 ,,,,,,200,,湯浅町大字田84,
庚申山,田,,,,湯浅町,避難場所,地震　津波,,,☆☆☆,,,,,,32.1,135.1518510 ,34.0523073 ,,,,,,500,,湯浅町大字田1057,
矢田グランド,栖原,,,,湯浅町,避難場所,地震　津波,,,☆☆☆,,,,,,53.3,135.1764330 ,34.0426603 ,,,,,,6700,,湯浅町大字栖原253-4,
法岸寺,栖原,,,,湯浅町,避難場所,地震　津波,,,☆☆☆,,,,,,21.4,135.1668200 ,34.0454300 ,,,,,,200,,湯浅町大字栖原1348,
田栖川小学校校舎,栖原,,,３F,湯浅町,避難場所,地震　津波,津波浸水予測地域,,☆☆,耐震　,,,,,4.4,135.1655650 ,34.0442370 ,,,,75,,70,,湯浅町大字栖原1384,1人/㎡
前山農道,栖原,,,,湯浅町,避難場所,地震　津波,,,☆☆☆,,,,,,31.2,135.1632920 ,34.0394215 ,,,,,,1000,,湯浅町大字栖原734-2,
済生会前オレンジタウン,栖原 吉川,,,,湯浅町,避難場所,地震　津波,,,☆☆☆,,,,,,38.8,135.1926380 ,34.0453510 ,,,,,,1000,,湯浅町大字吉川51-23,
横田元日通付近,湯浅 栖原 吉川,,,,湯浅町,避難場所,地震　津波,,,☆☆☆,,,,,,42.8,135.1891890 ,34.0451579 ,,,,,,2000,,湯浅町大字栖原83,
