名称,避難が予想される住民の地区名,,,指定場所,市町村名,種別,災害区分,"土砂災害・浸水・津波浸水予測地域","緊急避難先レベル",,耐震性,備蓄の有無,備蓄品目,,,標高（m）,"経度：東経(世界測地系10進法)","緯度：北緯(世界測地系10進法)",発電機,,,"施設面積（㎡）",,収容人数,収容人数(一時）,所在地,備考
,,,,,,,,,風水害,津波,,,備蓄の有無,食料の有無,備蓄品目,,,,発電機の有無,発動発電機（可搬型）,自家発電機,屋内,屋外,,,,
山本区集会場,山本  ,,,,広川町,避難所を兼ねる避難場所,洪水　地震　,,☆☆☆,,耐震　,,,,,24,135.1674550 ,34.0140270 ,,,,,,30,,広川町大字山本510-6,
広八幡避難施設,広  ,,,,広川町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　津波,土砂災害予測地域　浸水予測地域　,☆☆,☆☆☆,耐震　,有,○,○,飲料・食糧・トイレ・プライベートルーム等,11.8,135.1753972 ,34.0178978 ,,,,,,150,,広川町大字上中野206-1,
広川町老人憩いの家,広（西町）  ,,,,広川町,避難所を兼ねる避難場所,洪水　,土砂災害予測地域　浸水予測地域　,☆,,,,,,,3,135.1735760 ,34.0292770 ,,,,,,90,,広川町大字広1467,
広川町役場３階,みどり区  広（西町）,,,,広川町,避難所を兼ねる避難場所,津波,津波浸水予測地域,,☆,耐震　,有,○,,毛布、マット,3,135.1730627 ,34.0302394 ,○,,○,,,,606,広川町大字広1500,
広川町民体育館,広（西町）  ,,,,広川町,避難所を兼ねる避難場所,洪水　地震　,土砂災害予測地域　浸水予測地域　,☆☆☆,,耐震　,,,,,3,135.1735030 ,34.0310410 ,,,,,,479,,広川町大字広1469,
広川町民会館,熊之町  学園町  旭町,,,,広川町,避難所を兼ねる避難場所,洪水　地震　,土砂災害予測地域　浸水予測地域　,☆☆☆,,耐震　,,,,,5,135.1772308 ,34.0235406 ,,,,,,210,,広川町大字広572,
広川町風力発電所（広川明神山風力発電所西空き地）,西広  山本,,,,広川町,避難所を兼ねる避難場所,地震　津波,,,☆☆☆,耐震　,,,,,82,135.1626180 ,34.0177803 ,,,,,,,1000,広川町大字山本1959-2,
広川町青少年の家,岩淵  ,,,,広川町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　地震　,土砂災害予測地域　浸水予測地域　,☆,,耐震　,,,,,211,135.2473760 ,33.9946790 ,,,,,,32,,広川町大字下津木2088,
広川町なごみ交流センター,広(東町）  ,,,,広川町,避難所を兼ねる避難場所,洪水　地震　,土砂災害予測地域　浸水予測地域　,☆,,耐震　,,,,,6,135.1788280 ,34.0261520 ,,,,,,263,,広川町大字広369,
広川町なかよし子ども園,広(東町）  ,,,,広川町,避難所を兼ねる避難場所,洪水　地震　,土砂災害予測地域　浸水予測地域　,☆☆☆,,耐震　,,,,,7,135.1776140 ,34.0234830 ,,,,,,496,,広川町大字広583,
広川町B&G海洋センター,広（西町）  ,,,,広川町,避難所を兼ねる避難場所,洪水　地震　,土砂災害予測地域　浸水予測地域　,☆☆,,耐震　,,,,,3,135.1672710 ,34.0255660 ,,,,,,395,,広川町大字広1121-3,
広小学校,広（西町）  広(東町） ,,,津波の時は２階以上,広川町,避難所を兼ねる避難場所,洪水　地震　津波,土砂災害予測地域　浸水予測地域　,☆☆☆,☆,耐震　,,,,,5,135.1761388 ,34.0233660 ,,,,,,812,,広川町大字広631,
