"避難先名称","避難が予想される住民の地区名","指定場所","管轄市町村名","避難種別","災害区分","土砂災害・浸水・津波浸水予測地域","緊急避難場所レベル（風水害）","緊急避難場所レベル（津波）","耐震性","備蓄の有無","備蓄品目（備蓄の有無）","備蓄品目（食料の有無）","備蓄品目（備蓄品目）","標高（メートル）","経度：東経（世界測地系10進法）","緯度：北緯（世界測地系10進法）","発電機（発電機の有無）","発電機（発動発電機（可搬型））","発電機（自家発電機）","施設面積（平米）屋内","施設面積（平米）屋外","収容人数","収容人数（一時）","所在地","備考1","備考２-１","備考２-２"
"高野口地区公民館","名倉、大野、向島、田原、伏原、応其、小田、名古曽、九重、上中、下中、竹尾、嵯峨谷","公民館","橋本市","避難所","","","","","耐震　","","","","",73.5,135.556779,34.3065927,"","○","",1264.15,0,48,0,"橋本市高野口町　名倉813-2","","指定避難所",""
"学文路地区公民館","学文路、清水、南馬場、西畑、向副、横座、賢堂","公民館","橋本市","避難所","","浸水予測地域　","","","耐震　","","","","",74.6,135.596905,34.3069292,"","○","",515.55,0,26,0,"橋本市清水343-3","","指定避難所",""
"恋野地区公民館","恋野、赤塚、中道、上田、須河、只野、彦谷、谷奥深、宿里","公民館","橋本市","避難所","","","","","耐震　","","","","",149.1,135.6555447,34.31970819,"","○","",571.6,0,29,0,"橋本市恋野564-1","","指定避難所",""
"隅田地区公民館","河瀬、下兵庫、芋生、中下、上兵庫、中島、垂井、真土、あやの台、山内、平野、霜草","公民館","橋本市","避難所","","","","","耐震　","","","","",103.7,135.6441052,34.32824648,"","○","",687.44,0,29,0,"橋本市隅田町　中島22-0","","指定避難所",""
"紀見北地区公民館","柱本、紀見ヶ丘、光陽台、矢倉脇、慶賀野、三石台","公民館","橋本市","避難所","","土砂災害予測地域　","","","耐震　","","","","",227.1,135.6000852,34.35874174,"","○","",665.22,0,29,0,"橋本市三石台４丁目2-1","","指定避難所",""
"紀見地区公民館","橋谷、城山台、胡麻生、紀見、しらさぎ台、御幸辻、柿の木坂、小峰台、細川、境原、杉尾、紀ノ光台","公民館","橋本市","避難所","","","","","非耐震","","","","",186.9,135.611322,34.3467259,"","○","",515.55,0,32,0,"橋本市城山台２丁目10-1","","指定避難所",""
"山田地区公民館","山田・吉原・出塔・野・神野々・柏原・岸上","公民館","橋本市","避難所","","","","","耐震　","","","","",120.6,135.584913,34.3179576,"","○","",619,0,26,0,"橋本市柏原433-1","","指定避難所",""
"中央公民館","原田、妻、北馬場、古佐田、東家、小原田、市脇、橋本、菖蒲谷、みゆき台、さつき台","公民館","橋本市","避難所","","浸水予測地域　","","","耐震化済　","","","","",80.2,135.605578,34.3155481,"","","",0,0,99,0,"橋本市東家１丁目6-27","","指定避難所",""
"応其小学校　１階多目的教室","","","橋本市","福祉避難所","","","","","","","","","",0,135.567039,34.3036423,"","","",0,0,0,0,"橋本市高野口町　名古曽19-1","","",""
"児童養護施設　六地学園","","","橋本市","福祉避難所","","","","","","","","","",0,135.6046426,34.34615027,"","","",0,0,0,0,"橋本市橋谷325-0","","",""
"障害福祉サービス事業所　むくのき","","","橋本市","福祉避難所","","","","","","","","","",0,135.5623296,34.30742242,"","","",0,0,0,0,"橋本市高野口町　名古曽724-0","","",""
