"避難先名称","避難が予想される住民の地区名","指定場所","管轄市町村名","避難種別","災害区分","土砂災害・浸水・津波浸水予測地域","緊急避難場所レベル（風水害）","緊急避難場所レベル（津波）","耐震性","備蓄の有無","備蓄品目（備蓄の有無）","備蓄品目（食料の有無）","備蓄品目（備蓄品目）","標高（メートル）","経度：東経（世界測地系10進法）","緯度：北緯（世界測地系10進法）","発電機（発電機の有無）","発電機（発動発電機（可搬型））","発電機（自家発電機）","施設面積（平米）屋内","施設面積（平米）屋外","収容人数","収容人数（一時）","所在地","備考1","備考２-１","備考２-２"
"河南グラウンド","中央部地区","","かつらぎ町","広域避難場所","崖崩れ・土石流及び地滑り　地震　","浸水予測地域　","☆（注）","","","","","","",52,135.490457,34.284027,"","","",0,0,0,2090,"かつらぎ町大字東渋田626-3","","指定緊急避難場所","",
"かつらぎ町地域福祉センター","丁ノ町地区、新田地区","","かつらぎ町","福祉避難所","崖崩れ・土石流及び地滑り　地震　","浸水予測地域　","","","耐震　","","","","",0,135.50437,34.295703,"","","",0,0,392,647,"かつらぎ町大字丁ノ町2338-2","","","",
"中飯降グラウンド","中飯降地区","","かつらぎ町","避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　","","☆","","","","","","",129,135.53856,34.3100894,"","","",0,0,0,1454,"かつらぎ町大字中飯降1344-3","","指定緊急避難場所","",
"生活改善センター（花園）","花園","","かつらぎ町","避難所を兼ねる避難場所","洪水　内水氾濫　大規模な火事","土砂災害予測地域　","☆（注）","","非耐震","","","","",0,135.5213049,34.14156897,"","","",0,0,83,0,"かつらぎ町大字花園梁瀬0-0","","","",
"四郷地域交流センター（ともがき）","四郷第一地区","","かつらぎ町","避難所を兼ねる避難場所","洪水　内水氾濫　地震　大規模な火事","土砂災害予測地域　","☆","","耐震　","","","","",0,135.479706,34.3244762,"","","",0,0,84,454,"かつらぎ町大字広口1197-0","","指定緊急避難場所","指定避難所",
"妙寺公民館","妙寺地区","","かつらぎ町","避難所を兼ねる避難場所","崖崩れ・土石流及び地滑り　地震　大規模な火事","浸水予測地域　","☆","","耐震化済　","有","○","○","非常食、非常飲料水、毛布",0,135.520912,34.297668,"","","",0,0,91,193,"かつらぎ町大字妙寺450-0","","指定緊急避難場所","指定避難所",
"旧丁ノ町保育所","丁ノ町地区、新田地区","","かつらぎ町","避難所を兼ねる避難場所","洪水　内水氾濫　大規模な火事","","☆（注）","","非耐震","","","","",0,135.510158,34.3008717,"","","",0,0,206,677,"かつらぎ町大字丁ノ町282-0","","指定緊急避難場所","指定避難所",
"三谷公民館","三谷地区","","かつらぎ町","避難所を兼ねる避難場所","大規模な火事","土砂災害予測地域　浸水予測地域　","☆","","非耐震","有","○","○","非常食、非常飲料水、毛布",0,135.517701,34.2895622,"","","",0,0,40,220,"かつらぎ町大字三谷1670-2","","指定緊急避難場所","指定避難所",
"広口生活改善センター","四郷第一地区","","かつらぎ町","避難所を兼ねる避難場所","洪水　内水氾濫　大規模な火事","土砂災害予測地域　","☆（注）","","非耐震","","","","",0,135.472147,34.3169294,"","","",0,0,50,127,"かつらぎ町大字広口476-0","","指定緊急避難場所","指定避難所",
"笠田東児童館","笠田東第２地区","","かつらぎ町","避難所を兼ねる避難場所","崖崩れ・土石流及び地滑り　大規模な火事","浸水予測地域　","☆（注）","","非耐震","","","","",0,135.478078,34.2851769,"","","",0,0,60,90,"かつらぎ町大字笠田東353-1","","指定緊急避難場所","指定避難所",
"笠田中学校","笠田東第２地区","","かつらぎ町","避難所を兼ねる避難場所","崖崩れ・土石流及び地滑り　地震　大規模な火事","浸水予測地域　","☆☆","","耐震　","有","○","○","非常食、毛布",0,135.480543,34.2881345,"","","",0,0,604,4363,"かつらぎ町大字笠田東132-0","","指定緊急避難場所","指定避難所",
