"避難先名称","避難が予想される住民の地区名","指定場所","管轄市町村名","避難種別","災害区分","土砂災害・浸水・津波浸水予測地域","緊急避難場所レベル（風水害）","緊急避難場所レベル（津波）","耐震性","備蓄の有無","備蓄品目（備蓄の有無）","備蓄品目（食料の有無）","備蓄品目（備蓄品目）","標高（メートル）","経度：東経（世界測地系10進法）","緯度：北緯（世界測地系10進法）","発電機（発電機の有無）","発電機（発動発電機（可搬型））","発電機（自家発電機）","施設面積（平米）屋内","施設面積（平米）屋外","収容人数","収容人数（一時）","所在地","備考1","備考２-１","備考２-２"
"寒川第一小学校グラウンド","宮平 上長志 下板 上板 下小薮川 上小薮川","","日高川町","避難場所","洪水　","","☆（注）","","","","","","",298,135.470158,33.9552019,"","","",0,1300,0,394,"日高川町大字寒川184-0","",""
"笠松小学校グラウンド","平","","日高川町","避難場所","","","☆☆","","","","","","",217,135.3859956,33.96117969,"","","",0,4000,0,1212,"日高川町大字初湯川168-0","",""
"川原河小学校グラウンド","川原河 皆瀬 上越方 下越方","","日高川町","避難場所","","","☆☆","","","","","","",134,135.3691746,33.97757537,"","","",0,2300,0,697,"日高川町大字川原河381-1","",""
"美山中学校グラウンド","川原河 皆瀬 上越方 下越方","","日高川町","避難場所","","","☆（注）","","","","","","",133,135.3691746,33.97757537,"","","",0,5700,0,1727,"日高川町大字川原河128-0","",""
"旧川中第一小学校グラウンド","田尻 小釜本","","日高川町","避難場所","","","☆（注）","","","","","","",80,135.3409845,33.92733146,"","","",2400,0,0,727,"日高川町大字田尻236-0","",""
"中津中学校グラウンド","三佐 田尻","","日高川町","避難場所","","","☆（注）","","","","","","",82,135.3112813,33.929893,"","","",0,3500,0,1061,"日高川町大字三佐26-0","",""
"大星ゲートボール場","老星","","日高川町","避難場所","","","☆（注）","","","","","","",0,135.2858971,33.91732379,"","","",0,4700,0,775,"日高川町大字大又13-0","",""
"旧大星小学校グラウンド","坂野川 老星 大又","","日高川町","避難場所","","","☆（注）","","","","","","",74,135.2925847,33.92831443,"","","",0,5000,0,1515,"日高川町大字坂野川150-0","",""
"旧子十浦小学校グラウンド","姉子 三十木 原日浦","","日高川町","避難場所","","","☆（注）","","","","","","",105,135.3267952,33.97392393,"","","",0,4700,0,1424,"日高川町大字三十木155-0","",""
"旧高津尾小学校グラウンド","西原、本郷","","日高川町","避難場所","","","☆（注）","","","","","","",54,135.2910938,33.96074443,"","","",0,2400,0,727,"日高川町大字高津尾267-0","",""
"中津小学校グラウンド","坂本  岡本  小津茂 上滝本 下滝本","","日高川町","避難場所","","","☆（注）","","","","","","",43,135.2727096,33.95685208,"","","",0,3700,0,1121,"日高川町大字船津1507-0","",""
"和佐小学校グラウンド","和佐","","日高川町","避難場所","洪水　","","☆（注）","","","","","","",19.1,135.2099872,33.89904927,"","","",0,2600,0,788,"日高川町大字和佐1550-0","",""
"丹生中学校グラウンド","江川","","日高川町","避難場所","洪水　地震　","","☆☆","","","","","","",25,135.2196376,33.89128386,"","","",0,4300,0,1303,"日高川町大字江川536-0","",""
"江川小学校グラウンド","江川","","日高川町","避難場所","","","☆（注）","","","","","","",22.5,135.2239937,33.88977657,"","","",0,2200,0,667,"日高川町大字江川2133-0","",""
"山野小学校グラウンド","山野、市川、大滝川、三津川","","日高川町","避難場所","洪水　地震　","","☆（注）","","","","","","",60.3,135.2477986,33.89277238,"","","",0,2000,0,606,"日高川町大字山野538-0","",""
