名称,避難が予想される住民の地区名,,,指定場所,市町村名,種別,災害区分,"土砂災害・浸水・津波浸水予測地域","緊急避難先レベル",,耐震性,備蓄の有無,備蓄品目,,,標高（m）,"経度：東経(世界測地系10進法)","緯度：北緯(世界測地系10進法)",発電機,,,"施設面積（㎡）",,収容人数,収容人数(一時）,所在地,備考
,,,,,,,,,風水害,津波,,,備蓄の有無,食料の有無,備蓄品目,,,,発電機の有無,発動発電機（可搬型）,自家発電機,屋内,屋外,,,,
中津荘,尾曽,,,,日高川町,避難所を兼ねる避難場所,洪水　地震　,,☆☆☆,,耐震　,,,,,54,135.2946710 ,33.9578670 ,,,,900,1400,766,,日高川町大字高津尾1049,
丹生中学校,江川,,,,日高川町,避難所を兼ねる避難場所,洪水　地震　,,☆☆☆,,耐震　,有,○,,発電機・投光器・毛布,25,135.2200670 ,33.8912060 ,○,,○,1066,4300,1788,,日高川町大字江川533,
滝頭集会所,滝頭,,,,日高川町,避難所を兼ねる避難場所,洪水　,,☆☆☆,,非耐震,,,,,163,135.3747080 ,33.9556150 ,,,,170,,57,,日高川町大字滝頭191-2,
大成中学校,鐘巻 土生,,,,日高川町,避難所を兼ねる避難場所,洪水　地震　,,☆☆☆,,耐震　,有,○,,発電機・投光器・毛布,24.9,135.1800020 ,33.9149480 ,○,,○,500,10000,3500,,日高川町大字土生1228-2,
打尾集会所,打尾,,,,日高川町,避難所を兼ねる避難場所,洪水　,土砂災害予測地域　浸水予測地域　,☆,,,,,,,135,135.3772990 ,33.9714770 ,,,,44,,15,,日高川町大字皆瀬781,
船着中学校,高津尾 西原 本郷,,,,日高川町,避難所を兼ねる避難場所,洪水　,,☆☆☆,,非耐震,,,,,53,135.2917480 ,33.9604130 ,,,,627,600,409,,日高川町大字高津尾266,
浅間集会所,浅間,,,,日高川町,避難所を兼ねる避難場所,洪水　,土砂災害予測地域　浸水予測地域　,☆,,耐震　,,,,,149,135.3675840 ,33.9683760 ,,,,65,,22,,日高川町大字浅間54,
川辺西小学校,土生 小熊,,,,日高川町,避難所を兼ねる避難場所,洪水　地震　,,☆☆☆,,耐震　,有,○,,発電機・投光器・毛布,11,135.1873300 ,33.9109950 ,○,,○,1178,4600,1926,,日高川町大字小熊3320-1,
西ノ川集会所,西ノ川,,,,日高川町,避難所を兼ねる避難場所,洪水　,土砂災害予測地域　浸水予測地域　,☆,,耐震　,,,,,272,135.4605810 ,33.9541250 ,,,,33,,11,,日高川町大字寒川1323-1,
上初湯川集会所,上初湯川,,,,日高川町,避難所を兼ねる避難場所,洪水　,,☆☆☆,,非耐震,,,,,285,135.4101290 ,33.9952430 ,,,,93,,31,,日高川町大字上初湯川83,
上越方集会所,上越方,,,,日高川町,避難所を兼ねる避難場所,洪水　地震　,,☆☆☆,,耐震　,,,,,121,135.3593060 ,33.9673040 ,,,,65,230,98,,日高川町大字上越方21-5,
小薮川集会所,小藪川,,,,日高川町,避難所を兼ねる避難場所,洪水　,土砂災害予測地域　浸水予測地域　,☆,,,,,,,402,135.5102990 ,33.9588950 ,,,,20,,7,,日高川町大字寒川2230,
初湯川集会所,初湯川,,,,日高川町,避難所を兼ねる避難場所,洪水　,土砂災害予測地域　浸水予測地域　,☆,,耐震　,,,,,218,135.4078380 ,33.9732700 ,,,,40,,13,,日高川町大字初湯川1170-1,
山野小学校,山野  市川  大滝川 三津川,,,,日高川町,避難所を兼ねる避難場所,洪水　地震　,,☆☆☆,,耐震　,有,○,,発電機・投光器・毛布,60.3,135.2475700 ,33.8923100 ,○,,○,544,2000,848,,日高川町大字山野538,
山向寺,坂野川,,,,日高川町,避難所を兼ねる避難場所,洪水　,土砂災害予測地域　浸水予測地域　,☆,,,,,,,78,135.2940440 ,33.9282770 ,,,,115,,38,,日高川町大字坂野川255,
三百瀬小学校,平川 三百瀬,,,,日高川町,避難所を兼ねる避難場所,洪水　地震　,,☆☆☆,,耐震　,有,○,,発電機・投光器・毛布,42.4,135.2481760 ,33.9415230 ,○,,○,544,,181,,日高川町大字三百瀬884,
三十井川集会所,三十井川,,,,日高川町,避難所を兼ねる避難場所,洪水　地震　,土砂災害予測地域　浸水予測地域　,☆,,耐震　,,,,,171,135.3241170 ,33.9877930 ,,,,97,,32,,日高川町大字三十井川84-1,
佐井ゴルフ記念館,佐井,,,,日高川町,避難所を兼ねる避難場所,洪水　,土砂災害予測地域　浸水予測地域　,☆,,非耐震,,,,,70,135.2875960 ,33.9367690 ,,,,116,,39,,日高川町大字佐井597,
高野集会所,高野,,,,日高川町,避難所を兼ねる避難場所,洪水　地震　,,☆☆☆,,耐震　,,,,,270,135.4606050 ,33.9540850 ,,,,33,,11,,日高川町大字寒川61-2,
高畑集会所,江川,,,,日高川町,避難所を兼ねる避難場所,洪水　,土砂災害予測地域　浸水予測地域　,☆,,非耐震,,,,,45,135.2382040 ,33.8903820 ,,,,50,,17,,日高川町大字江川1740,
高津尾小学校,高津尾 西原 本郷,,,,日高川町,避難所を兼ねる避難場所,洪水　,,☆☆☆,,非耐震,,,,,54,135.2916410 ,33.9607600 ,,,,460,2400,953,,日高川町大字高津尾264,
江川小学校,江川,,,,日高川町,避難所を兼ねる避難場所,洪水　地震　,,☆☆☆,,耐震　,有,○,,発電機・投光器・毛布,22.5,135.2238160 ,33.8892560 ,○,,○,534,2200,911,,日高川町大字江川2149,
渓谷寺,三十木,,,,日高川町,避難所を兼ねる避難場所,洪水　,土砂災害予測地域　浸水予測地域　,☆,,,,,,,117,135.3259620 ,33.9720950 ,,,,209,,70,,日高川町大字三十木33,
