名称,避難が予想される住民の地区名,,,指定場所,市町村名,種別,災害区分,"土砂災害・浸水・津波浸水予測地域","緊急避難先レベル",,耐震性,備蓄の有無,備蓄品目,,,標高（m）,"経度：東経(世界測地系10進法)","緯度：北緯(世界測地系10進法)",発電機,,,"施設面積（㎡）",,収容人数,収容人数(一時）,所在地,備考
,,,,,,,,,風水害,津波,,,備蓄の有無,食料の有無,備蓄品目,,,,発電機の有無,発動発電機（可搬型）,自家発電機,屋内,屋外,,,,
宝満寺,秋津町,,,,田辺市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　津波,土砂災害予測地域　,☆（注）,☆☆☆,,有,○,○,,45,135.3993036 ,33.7510662 ,,,,141,,43,,田辺市秋津町630,
平瀬集会所,平瀬,,,,田辺市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　地震　,土砂災害予測地域　,☆,,耐震　,,,,発電機など,205,135.5889071 ,33.7650348 ,○,,○,112,,34,,田辺市平瀬474-1,
富里福祉センター,下川下,,,,田辺市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　地震　,土砂災害予測地域　浸水予測地域　,☆,,耐震　,,,,,225,135.5856138 ,33.7426059 ,,,,468,,142,,田辺市下川下989,
富里小学校,下川下,,,,田辺市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　地震　,,☆☆☆,,耐震　,,,,,196,135.5895521 ,33.7470485 ,,,,732,,222,,田辺市下川下826-1,
白寿荘,福井,,,,田辺市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　地震　,土砂災害予測地域　,☆,,耐震　,,,,,248,135.4438206 ,33.8833917 ,,,,99,,30,,田辺市龍神村　福井-2,
能登集会所,鮎川  ,,,,田辺市,避難所を兼ねる避難場所,洪水　地震　,土砂災害予測地域　浸水予測地域　,☆,,,,,,,98,135.4999678 ,33.7425097 ,,,,29,,9,,田辺市鮎川988-2,
日向保育所,上芳養,,,,田辺市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　地震　,,☆☆☆,,耐震　,,,,,51,135.3651654 ,33.8013812 ,,,,273,,83,,田辺市上芳養992-1,
南紀高等学校,神子浜  文里  磯間 学園 東山,,,,田辺市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　地震　津波,,☆☆☆,☆☆☆,耐震　,有,○,○,毛布・アルミマット・防水シートなど,17,135.3891754 ,33.7252645 ,,,,920,,279,,田辺市学園1,
湯ノ又地区集会所,湯ノ又  ,,,,田辺市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　地震　,,☆,,耐震　,,,,,390,135.5580569 ,33.9395547 ,,,,92,,28,,田辺市龍神村　湯ノ又,
東地区集会所,東  ,,,,田辺市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　地震　,,☆☆☆,,耐震　,,,,,319,135.4945251 ,33.8925353 ,,,,79,,24,,田辺市龍神村　東-3,
東原多目的集会所,長野,,,,田辺市,避難所を兼ねる避難場所,洪水　地震　,土砂災害予測地域　浸水予測地域　,☆,,耐震　,有,○,,毛布,121,135.4441145 ,33.7681955 ,,,,165,,50,,田辺市長野1146-2,
