"避難先名称","避難が予想される住民の地区名","指定場所","管轄市町村名","避難種別","災害区分","土砂災害・浸水・津波浸水予測地域","緊急避難場所レベル（風水害）","緊急避難場所レベル（津波）","耐震性","備蓄の有無","備蓄品目（備蓄の有無）","備蓄品目（食料の有無）","備蓄品目（備蓄品目）","標高（メートル）","経度：東経（世界測地系10進法）","緯度：北緯（世界測地系10進法）","発電機（発電機の有無）","発電機（発動発電機（可搬型））","発電機（自家発電機）","施設面積（平米）屋内","施設面積（平米）屋外","収容人数","収容人数（一時）","所在地","備考1","備考２-１","備考２-２"
"粉河体育館・粉河武道館","葵町 石北町 上ノ段 鍛冶町 北町 蔵之町 栄町 新町 寺長 中町 根来町 這上町 橋詰 東町 本町 松ヶ枝町 西の窪 中ノ才 秋葉台 猪垣 東毛 中津川 中山 藤井 藤井新町","","紀の川市","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　大規模な火事","","☆☆☆","","耐震　","有","○","○","飲料水、アルファ米、パン、組立式仮設トイレ、毛布等",56,135.402918,34.2729422,"○","○","",2833,0,1390,0,"紀の川市粉河1479-0","","","指定避難所"
"貴志川保健福祉センター","前田 神戸","","紀の川市","避難所を兼ねる避難場所","崖崩れ・土石流及び地滑り　高潮　地震　津波　大規模な火事","浸水予測地域　","☆☆","","耐震　","有","○","○","投光器、組立式仮設トイレ、大型かまど、毛布、アルファ米、等",28,135.313821,34.217605,"○","○","",1490,0,720,0,"紀の川市貴志川町　神戸331-0","","","指定避難所"
"貴志川中学校（体育館・柔剣道場）","岸宮","","紀の川市","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　大規模な火事","","☆☆☆","","耐震　","有","○","○","飲料水、パン、組立式仮設トイレ、毛布等",43,135.30985,34.2178461,"○","○","",1501,0,800,0,"紀の川市貴志川町　上野山232-0","","","指定避難所"
"貴志川生涯学習センター","尼寺  長原北 鳥居","","紀の川市","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　大規模な火事","","☆☆☆","","耐震　","有","○","○","飲料水、パン、毛布等",44,135.306607,34.2177608,"○","○","",5193,0,950,0,"紀の川市貴志川町　長原447-1","","","指定避難所"
"丸栖小学校（体育館）","丸栖（東） 丸栖（西）","","紀の川市","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　大規模な火事","","☆☆☆","","耐震　","有","○","○","飲料水、パン、毛布等",33,135.325886,34.231465,"○","○","",550,0,300,0,"紀の川市貴志川町　丸栖206-0","","","指定避難所"
"下鞆渕集会所","下鞆渕、山村留学センター","","紀の川市","避難所を兼ねる避難場所","洪水　高潮　内水氾濫　地震　津波　大規模な火事","土砂災害予測地域　","☆（注）","","耐震　","有","○","○","毛布、飲料水、アルファ米、パン等",380,135.429827,34.2143542,"○","○","",89,0,50,0,"紀の川市下鞆渕457-0","","","指定避難所"
"井阪文化会館","下井阪  西井阪","","紀の川市","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　大規模な火事","","☆☆☆","","耐震　","有","○","○","飲料水、パン、毛布、組立トイレ等",29,135.336855,34.2569438,"○","○","",341,0,160,0,"紀の川市西井阪169-0","","","指定避難所"
"安楽川小学校（体育館）","段  最上団地  桃山団地","","紀の川市","避難所を兼ねる避難場所","崖崩れ・土石流及び地滑り　高潮　地震　津波　大規模な火事","浸水予測地域　","☆","","耐震　","有","○","○","飲料水、パン、アルファ米、投光器、組立式仮設トイレ、大型かまど、毛布等",23,135.348852,34.2410988,"○","○","",762,0,415,0,"紀の川市桃山町　市場2-0","","","指定避難所"
"丸栖コミュニティセンター","丸栖北  北山  塚本","公民館:避難所　屋外:避難場所","紀の川市","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　大規模な火事","","☆☆☆","","耐震　","有","○","○","飲料水、パン、毛布等",39,135.323008,34.2328452,"○","○","",972,2436,264,850,"紀の川市貴志川町　丸栖658-0","公民館は避難所
収容人数264人
公園・広場・駐車場は避難場所
収容人数850人","指定緊急避難場所","指定避難所"
"ふれあいコミュニティセンター","市場","","紀の川市","避難所を兼ねる避難場所","崖崩れ・土石流及び地滑り　高潮　地震　津波　大規模な火事","浸水予測地域　","☆☆","","耐震　","有","○","○","飲料水、パン、毛布等",23,135.342777092817,34.2422961790464,"○","○","",1010,0,240,0,"紀の川市桃山町　市場1-2","","","指定避難所"
"那賀保健福祉センター","本町  北の町  蛭子町 錦の町 西の町 新町 大宮（北 南） 大黒（１ ２） 栄町（１ ２） 黒代 東部（北 中 南）","","紀の川市","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　大規模な火事","","☆☆☆","","耐震　","有","○","○","飲料水、パン、投光器、組立式仮設トイレ、毛布等",56,135.437078,34.2723801,"○","○","",2583,0,500,0,"紀の川市名手市場144-1","","","指定避難所"
"打田保健福祉センター","打田駅前  東大井  西大井 北大井 田中馬場 北畑野上","","紀の川市","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　大規模な火事","","☆☆☆","","耐震　","有","○","○","投光器、組立トイレ、大型かまど、毛布、アルファ米など",48,135.362609,34.2692035,"○","○","○",5356,0,1100,0,"紀の川市西大井338-0","","","指定避難所"
