"避難先名称","避難が予想される住民の地区名","指定場所","管轄市町村名","避難種別","災害区分","土砂災害・浸水・津波浸水予測地域","緊急避難場所レベル（風水害）","緊急避難場所レベル（津波）","耐震性","備蓄の有無","備蓄品目（備蓄の有無）","備蓄品目（食料の有無）","備蓄品目（備蓄品目）","標高（メートル）","経度：東経（世界測地系10進法）","緯度：北緯（世界測地系10進法）","発電機（発電機の有無）","発電機（発動発電機（可搬型））","発電機（自家発電機）","施設面積（平米）屋内","施設面積（平米）屋外","収容人数","収容人数（一時）","所在地","備考1","備考２-１","備考２-２"
"立石地区集会所","立石","","有田川町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　大規模な火事","土砂災害予測地域　","☆","☆☆☆","耐震　","","","","備蓄品保管施設（２箇所）にて有り",0,135.310761,34.0665449,"","","",0,0,16,32,"有田川町大字立石610-0","",""
"有田中央高校清水分校体育館","清水","体育館","有田川町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　大規模な火事","土砂災害予測地域　","☆☆","☆☆☆","耐震　","","","","備蓄品保管施設（２箇所）にて有り",0,135.433858,34.0879282,"","","",0,0,275,550,"有田川町大字清水1028-0","",""
"有田中央高校体育館","北筋  尾中  長田 出 角","体育館","有田川町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　大規模な火事","","☆☆☆","☆☆☆","耐震　","","","","備蓄品保管施設（２箇所）にて有り",0,135.216903,34.0664369,"○","","",0,0,1000,2000,"有田川町大字下津野459-0","",""
"八幡小学校体育館","清水","体育館","有田川町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　大規模な火事","土砂災害予測地域　","☆","☆☆☆","耐震　","","","","備蓄品保管施設（２箇所）にて有り",0,135.4281018,34.0857509,"○","","",0,0,320,640,"有田川町大字清水274-1","",""
"日物川コミュニティセンター","日物川","","有田川町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　大規模な火事","土砂災害予測地域　","☆","☆☆☆","非耐震","","","","備蓄品保管施設（２箇所）にて有り",0,135.3701922,34.0757014,"","","",0,0,70,140,"有田川町大字日物川566-3","",""
"二澤地区集会所","二澤  北野川","","有田川町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　大規模な火事","土砂災害予測地域　","☆","☆☆☆","非耐震","","","","備蓄品保管施設（２箇所）にて有り",0,135.3957097,34.0504207,"","","",0,0,15,30,"有田川町大字二澤40-1","",""
"楠本小学校体育館（楠本区民センター）","楠本","体育館","有田川町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　大規模な火事","土砂災害予測地域　","☆","☆☆☆","耐震　","","","","備蓄品保管施設（２箇所）にて有り",0,135.3651109,34.0993787,"","","",0,0,140,280,"有田川町大字楠本149-2","",""
"東大谷生活改善センター","東大谷","","有田川町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　大規模な火事","土砂災害予測地域　","☆","☆☆☆","非耐震","","","","備蓄品保管施設（２箇所）にて有り",0,135.3486307,34.0724978,"","","",0,0,20,40,"有田川町大字東大谷130-0","",""
"鳥屋城小学校体育館","市場  金屋","体育館","有田川町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　大規模な火事","浸水予測地域　","☆","☆☆☆","耐震　","","","","備蓄品保管施設（２箇所）にて有り",0,135.250503,34.0662956,"","","",0,0,550,1100,"有田川町大字金屋647-0","",""
"鳥屋城公民館","中井原","","有田川町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　大規模な火事","浸水予測地域　","☆☆","☆☆☆","耐震　","","","","備蓄品保管施設（２箇所）にて有り",0,135.2548403,34.0639541,"","","",0,0,100,200,"有田川町大字中井原154-0","",""
"藤並小学校体育館","天満  水尻  明王寺 熊井 熊井なぎの里","体育館","有田川町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　大規模な火事","","☆☆☆","☆☆☆","耐震　","","","","備蓄品保管施設（２箇所）にて有り",0,135.207529,34.0611024,"","","",0,0,800,1600,"有田川町大字天満439-1","",""
"田殿小学校体育館","田口  大谷  井口 賢 田 角 大賀畑 船坂 長谷","体育館","有田川町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　大規模な火事","","☆☆☆","☆☆☆","耐震　","","","","備蓄品保管施設（２箇所）にて有り",0,135.214417,34.078544,"","","",0,0,600,1200,"有田川町大字井口47-1","",""
"御霊小学校体育館","徳田（上・下・奥）  秋葉","体育館","有田川町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　大規模な火事","","☆☆☆","☆☆☆","耐震　","","","","備蓄品保管施設（２箇所）にて有り",0,135.241801,34.0636874,"","","",0,0,550,1100,"有田川町大字庄35-0","",""
"谷地区集会所","谷","","有田川町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　大規模な火事","","☆☆☆","☆☆☆","耐震　","","","","備蓄品保管施設（２箇所）にて有り",0,135.329352,34.0707164,"","","",0,0,16,32,"有田川町大字谷262-2","",""
"大蔵コミュニティセンター","大蔵","","有田川町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　大規模な火事","土砂災害予測地域　","☆","☆☆☆","耐震　","","","","備蓄品保管施設（２箇所）にて有り",0,135.450748,34.1175217,"","","",0,0,15,30,"有田川町大字大蔵112-0","",""
"川口地区集会所","川口","","有田川町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　大規模な火事","浸水予測地域　","☆","☆☆☆","非耐震","","","","備蓄品保管施設（２箇所）にて有り",0,135.313549,34.0482073,"","","",0,0,55,110,"有田川町大字川口213-0","",""
"石垣小学校体育館","吉原  歓喜寺","体育館","有田川町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　大規模な火事","","☆☆☆","☆☆☆","耐震　","","","","備蓄品保管施設（２箇所）にて有り",0,135.252657,34.0492673,"","","",0,0,400,800,"有田川町大字吉原792-1","",""
"石垣公民館宇井苔分館","宇井苔","","有田川町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　大規模な火事","土砂災害予測地域　","☆","☆☆☆","非耐震","","","","備蓄品保管施設（２箇所）にて有り",0,135.334899,34.0149186,"","","",0,0,50,100,"有田川町大字宇井苔216-1","",""
"石垣公民館","松原","","有田川町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　大規模な火事","土砂災害予測地域　浸水予測地域　","☆","☆☆☆","耐震　","","","","備蓄品保管施設（２箇所）にて有り",0,135.2565122,34.0426395,"","","",0,0,50,100,"有田川町大字吉原1421-1","",""
"西ヶ峯小学校体育館","西ヶ峯上  西ヶ峯下","体育館","有田川町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　大規模な火事","土砂災害予測地域　","☆","☆☆☆","耐震　","","","","備蓄品保管施設（２箇所）にて有り",0,135.277994,34.0938979,"","","",0,0,290,580,"有田川町大字西ケ峯1489-0","",""
"生石公民館","下六川  丹生  糸野","","有田川町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　大規模な火事","","☆☆☆","☆☆☆","耐震化済　","","","","備蓄品保管施設（２箇所）にて有り",0,135.2455248,34.0704814,"","","",0,0,50,100,"有田川町大字糸野302-1","",""
"清水公民館上湯川分館","上湯川","","有田川町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　大規模な火事","土砂災害予測地域　","☆","☆☆☆","耐震化済　","","","","備蓄品保管施設（２箇所）にて有り",0,135.49546,34.0635702,"","","",0,0,20,40,"有田川町大字上湯川426-1","",""
"杉野原活性化センター","杉野原","","有田川町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　大規模な火事","土砂災害予測地域　","☆","☆☆☆","耐震　","","","","備蓄品保管施設（２箇所）にて有り",0,135.5028141,34.1179463,"","","",0,0,37,74,"有田川町大字杉野原862-2","",""
"城山公民館","二川","","有田川町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　大規模な火事","土砂災害予測地域　浸水予測地域　","","☆☆☆","耐震化済　","","","","備蓄品保管施設（２箇所）にて有り",0,135.3569621,34.07021037,"","","",0,0,300,600,"有田川町大字二川361-0","",""
"沼谷地区集会所","沼谷","","有田川町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　大規模な火事","土砂災害予測地域　","☆","☆☆☆","非耐震","","","","備蓄品保管施設（２箇所）にて有り",0,135.468338,34.1317258,"","","",0,0,50,100,"有田川町大字沼谷274-0","",""
"沼区民センター","沼","","有田川町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　大規模な火事","土砂災害予測地域　","☆","☆☆☆","耐震　","","","","",0,135.386566,34.1011892,"","","",0,0,55,110,"有田川町大字沼1415-0","",""
"小峠活性化センター","清水","","有田川町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　大規模な火事","土砂災害予測地域　","☆","☆☆☆","耐震　","","","","備蓄品保管施設（２箇所）にて有り",0,135.423307,34.092116,"","","",0,0,9,18,"有田川町大字清水127-3","",""
"小川小学校体育館","伏羊  吉田  有原 青田 小川（福井 上野 中村 丹波）","体育館","有田川町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　大規模な火事","","☆☆☆","☆☆☆","耐震　","","","","備蓄品保管施設（２箇所）にて有り",0,135.2678955,34.0726589,"","","",0,0,360,720,"有田川町大字小川610-0","",""
"糸川地区集会所","糸川","糸川地区集会所","有田川町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　大規模な火事","土砂災害予測地域　","☆","☆☆☆","耐震　","","","","備蓄品保管施設（２箇所）にて有り",0,135.260322,34.0295776,"","","",0,0,24,48,"有田川町大字糸川77-0","",""
"三田活性化センター","三田","","有田川町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　大規模な火事","土砂災害予測地域　","☆","☆☆☆","耐震　","","","","備蓄品保管施設（２箇所）にて有り",0,135.417445,34.0932459,"","","",0,0,21,42,"有田川町大字三田461-2","",""
"三瀬川消防詰所","三瀬川","","有田川町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　大規模な火事","土砂災害予測地域　","☆","☆☆☆","耐震　","","","","備蓄品保管施設（２箇所）にて有り",0,135.386887,34.064028,"","","",0,0,20,40,"有田川町大字三瀬川340-0","",""
"三瀬川コミュニティセンター","三瀬川","","有田川町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　大規模な火事","土砂災害予測地域　","☆","☆☆☆","耐震　","","","","備蓄品保管施設（２箇所）にて有り",0,135.388005,34.0659295,"","","",0,0,5,10,"有田川町大字三瀬川86-1","",""
"御霊地区コミュニティセンター","庄一","","有田川町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　大規模な火事","","☆☆☆","☆☆☆","耐震　","","","","",0,135.240235,34.0650214,"","","",0,0,70,140,"有田川町大字庄32-4","",""
"五西月小学校体育館","中  中峯  本堂 沼田","体育館","有田川町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　大規模な火事","土砂災害予測地域　","☆","☆☆☆","耐震　","","","","備蓄品保管施設（２箇所）にて有り",0,135.290165,34.0911287,"","","",0,0,270,540,"有田川町大字本堂252-2","",""
"五郷地区生活改善センター","川合","","有田川町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　大規模な火事","土砂災害予測地域　","☆","☆☆☆","耐震　","","","","備蓄品保管施設（２箇所）にて有り",0,135.388859,34.0502891,"","","",0,0,55,110,"有田川町大字川合247-0","",""
"五郷地区コミュニティセンター","中原","","有田川町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　大規模な火事","土砂災害予測地域　","☆","☆☆☆","非耐震","","","","",0,135.385483,34.0482876,"","","",0,0,45,90,"有田川町大字中原465-0","",""
"金屋中学校体育館","中野  長谷川","体育館","有田川町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　大規模な火事","","☆☆☆","☆☆☆","耐震　","","","","備蓄品保管施設（２箇所）にて有り",0,135.260203,34.0644061,"","","",0,0,870,1740,"有田川町大字中井原252-0","",""
"境川コミュニティセンター","境川","","有田川町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　大規模な火事","土砂災害予測地域　","☆","☆☆☆","耐震　","","","","",0,135.387148,34.0821597,"","","",0,0,20,40,"有田川町大字境川313-0","",""
