,,11,12,13,20,30,,,,,,,,A2,B0,C3,C4,,,,,
,,,,,,,,,,,,,備蓄,,標高（m）,,,,,,,
,避難先名称,"避難が予想される
住民の地区名",,,指定場所,市町村名,避難種別,避難所区分,"土砂災害・浸水・
津波浸水予測地域","（風水害）
緊急避難先レベル","（津波）
緊急避難先レベル",耐震性,備蓄の有無,備蓄品目,,"経度：東経
(世界測地系10進法)","緯度：北緯
(世界測地系10進法)",備考１,"備考２
（発電機有無）",収容人数,所在地,
,初島トンネル東側,初島,,,,有田市,屋外避難先 ,津波 ,,,☆☆☆,,,,28.0 ,135.126037,34.10256585,,,,,
,JR第１箕島トンネル付近,箕島,,,,有田市,屋外避難先 ,津波 ,,,☆☆☆,,,,15.0 ,135.1159304,34.08815501,,,,,
,箕島変電所東側農道,箕島,,,,有田市,屋外避難先 ,津波 ,,,☆☆☆,,,,19.0 ,135.1181754,34.08841047,,,,,
,法正寺,小豆島,,,,有田市,屋外避難先 ,津波 ,,,☆☆☆,,,,8.0 ,135.1174647,34.07678431,,,,,
,神光池,高田,,,,有田市,屋外避難先 ,津波 ,,,☆☆☆,,,,24.0 ,135.1407087,34.06425445,,,,,
,黒岩農道,宮原,,,,有田市,屋外避難先 ,津波 ,,,☆☆☆,,,,20.0 ,135.1677722,34.08601361,,,,,
,春日原,宮原,,,,有田市,屋外避難先 ,津波 ,,,☆☆☆,,,,22.0 ,135.1826262,34.08111751,,,,,
,布谷A,宮原,,,,有田市,屋外避難先 ,津波 ,,,☆☆☆,,,,17.0 ,135.1831788,34.07832723,,,,,
,布谷B,宮原,,,,有田市,屋外避難先 ,津波 ,,,☆☆☆,,,,14.0 ,135.1824814,34.07763853,,,,,
,鎌池周辺,保田,,,,有田市,屋外避難先 ,津波 ,,,☆☆☆,,,,16.0 ,135.1545006,34.06714518,,,,,
,沖池周辺,糸我,,,,有田市,屋外避難先 ,津波 ,,,☆☆☆,,,,,135.1764357,34.06095254,,,,,
