"避難先名称","避難が予想される住民の地区名","指定場所","管轄市町村名","避難種別","災害区分","土砂災害・浸水・津波浸水予測地域","緊急避難場所レベル（風水害）","緊急避難場所レベル（津波）","耐震性","備蓄の有無","備蓄品目（備蓄の有無）","備蓄品目（食料の有無）","備蓄品目（備蓄品目）","標高（メートル）","経度：東経（世界測地系10進法）","緯度：北緯（世界測地系10進法）","発電機（発電機の有無）","発電機（発動発電機（可搬型））","発電機（自家発電機）","施設面積（平米）屋内","施設面積（平米）屋外","収容人数","収容人数（一時）","所在地","備考1","備考２-１","備考２-２"
"桜台地区公民館","根来地区","","岩出市","福祉避難所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　","","","","耐震　","有","○","○","食料・資機材等",0,135.3140765,34.27825305,"","","",0,0,37,0,"岩出市桜台494-0","","",""
"紀泉台地区公民館","山崎地区","","岩出市","福祉避難所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　","","","","耐震　","有","○","○","食料・資機材等",0,135.2906629,34.2816594,"","","",0,0,35,0,"岩出市紀泉台428-0","","",""
"山崎地区公民館","山崎地区","","岩出市","福祉避難所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　","","","","耐震　","有","○","○","食料・資機材等",0,135.2918254,34.26709325,"","","",0,0,32,0,"岩出市中黒52-2","","",""
"岩出地区公民館","岩出地区","","岩出市","福祉避難所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　","浸水予測地域　","","","耐震　","有","○","○","食料・資機材等",0,135.3190398,34.25554271,"","","",0,0,42,0,"岩出市清水386-12","","",""
"根来地区公民館","根来地区","","岩出市","福祉避難所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　","","","","耐震　","有","○","○","食料・資機材等",0,135.3089713,34.27624156,"","","",0,0,41,0,"岩出市根来535-2","","",""
"上岩出地区公民館","上岩出地区","","岩出市","福祉避難所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　","","","","耐震　","有","○","○","食料・資機材等",0,135.3216389,34.26792296,"","","",0,0,23,0,"岩出市水栖199-3","","",""
"岩出市総合保健福祉センター","山崎地区","","岩出市","福祉避難所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　","","","","耐震　","有","○","○","食料・資機材等",0,135.2954733,34.27427776,"○","○","",0,0,44,0,"岩出市金池92-0","","",""
"船山地区公民館","岩出地区","","岩出市","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　大規模な火事","","☆☆☆","","耐震　","有","○","○","食料・資機材等",0,135.31892,34.2478704,"○","","○",0,0,50,50,"岩出市山崎118-4","","指定緊急避難場所","指定避難所"
"那賀高等学校","岩出地区","","岩出市","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　大規模な火事","","☆☆☆","","耐震　","有","○","○","食料・資機材等",27,135.3226577,34.2603276,"","","",0,0,650,650,"岩出市高塚115-0","","",""
"中央小学校","上岩出地区","","岩出市","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　大規模な火事","","☆☆☆","","耐震　","有","○","○","食料・資機材等",37,135.3169332,34.2703517,"","","",0,0,586,586,"岩出市川尻202-0","","",""
"上岩出地区コミュニティセンター","上岩出地区","","岩出市","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　大規模な火事","","☆☆☆","","耐震　","有","○","○","食料・資機材等",55,135.32831,34.275837,"","","",0,0,38,38,"岩出市北大池84-2","","",""
"上岩出小学校","上岩出地区","","岩出市","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　大規模な火事","","☆☆☆","","耐震　","有","○","○","食料・資機材等",45,135.3259153,34.2706184,"","","",0,0,624,624,"岩出市水栖514-0","","",""
"山崎北小学校","山崎地区","","岩出市","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　大規模な火事","","☆☆☆","","耐震　","有","○","○","食料・資機材等",32,135.2916787,34.2763566,"","","",0,0,669,669,"岩出市西安上70-0","","",""
"山崎小学校","山崎地区","","岩出市","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　大規模な火事","","☆☆☆","","耐震　","有","○","○","食料・資機材等",18,135.2916037,34.267677,"","","",0,0,664,664,"岩出市中黒100-0","","",""
"根来小学校","根来地区","","岩出市","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　大規模な火事","","☆☆☆","","耐震　","有","○","○","食料・資機材等",51,135.3091121,34.2777176,"","","",0,0,503,503,"岩出市根来479-0","","",""
"岩出中学校","山崎地区","","岩出市","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　大規模な火事","","☆☆☆","","耐震　","有","○","○","食料・資機材等",22,135.3074959,34.2618469,"","","",0,0,864,864,"岩出市西野65-0","","",""
"岩出地区コミュニティセンター","岩出地区","","岩出市","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　大規模な火事","浸水予測地域　","☆☆","","耐震　","有","○","○","食料・資機材等",24,135.319988,34.253217,"","","",0,0,20,20,"岩出市高塚11-0","","",""
"岩出第二中学校","上岩出地区","","岩出市","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　大規模な火事","","☆☆☆","","耐震　","有","○","○","食料・資機材等",42,135.31615,34.2744097,"","","",0,0,971,971,"岩出市野上野155-0","","",""
"岩出小学校","岩出地区","","岩出市","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　大規模な火事","浸水予測地域　","☆☆","","耐震　","有","○","○","食料・資機材等",15,135.318514,34.2509896,"","","",0,0,489,489,"岩出市清水30-0","","",""
"岩出市立体育館","岩出地区","","岩出市","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　大規模な火事","浸水予測地域　","☆☆","","耐震　","","","","",19,135.309895,34.256379,"","","",0,0,337,337,"岩出市西野264-0","","",""
"岩出市民総合体育館","上岩出地区","","岩出市","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　大規模な火事","","☆☆☆","","耐震　","有","○","","資機材等",26,135.310451,34.263827,"","","",0,0,439,439,"岩出市荊本63-2","","",""
"岩出市農業構造改善総合センター(根来地区公民館)","根来 地区","","岩出市","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　大規模な火事","","☆☆☆","","耐震　","有","○","○","食料・資機材等",47,135.308962,34.276246,"","","",0,0,141,141,"岩出市根来535-2","","",""
"岩出市農家高齢者創作館(上岩出地区公民館)","上岩出地区","","岩出市","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　大規模な火事","","☆☆☆","","耐震　","有","○","○","食料・資機材等",38,135.32163,34.267927,"","","",0,0,108,108,"岩出市水栖199-3","","",""
"サンホール(岩出市陶芸館)","山崎地区","","岩出市","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　大規模な火事","","☆☆☆","","耐震　","有","○","○","食料・資機材等",20,135.282202,34.27081,"","","",0,0,79,79,"岩出市山719-0","","",""
"紀泉台地区公民館","山崎地区","","岩出市","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　大規模な火事","","☆☆☆","","耐震　","有","○","○","食料・資機材等",68,135.29065,34.281641,"","","",0,0,150,150,"岩出市紀泉台428-0","","",""
"山崎地区公民館","山崎地区","","岩出市","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　大規模な火事","","☆☆☆","","耐震　","有","○","○","食料・資機材等",19,135.291789,34.267072,"","","",0,0,147,147,"岩出市中黒52-2","","",""
"岩出地区公民館","岩出地区","","岩出市","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　大規模な火事","浸水予測地域　","☆☆","","耐震　","有","○","○","食料・資機材等",23,135.319014,34.255503,"","","",0,0,152,152,"岩出市清水386-12","","",""
"岩出市総合保健福祉センター(あいあいセンター)","山崎地区","","岩出市","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　大規模な火事","","☆☆☆","","耐震　","有","○","○","食料・資機材等",32,135.2956,34.274285,"","","",0,0,442,442,"岩出市金池92-0","","",""
"桜台地区公民館","根来地区","","岩出市","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　大規模な火事","","☆☆☆","","耐震　","有","○","○","食料・資機材等",50,135.314063,34.278206,"","","",0,0,143,143,"岩出市桜台494-0","","",""
