"避難先名称","避難が予想される住民の地区名","指定場所","管轄市町村名","避難種別","災害区分","土砂災害・浸水・津波浸水予測地域","緊急避難場所レベル（風水害）","緊急避難場所レベル（津波）","耐震性","備蓄の有無","備蓄品目（備蓄の有無）","備蓄品目（食料の有無）","備蓄品目（備蓄品目）","標高（メートル）","経度：東経（世界測地系10進法）","緯度：北緯（世界測地系10進法）","発電機（発電機の有無）","発電機（発動発電機（可搬型））","発電機（自家発電機）","施設面積（平米）屋内","施設面積（平米）屋外","収容人数","収容人数（一時）","所在地","備考1","備考２-１","備考２-２"
"高台（こびき防災公園）","小引","※津波一時避難場所","由良町","避難場所","津波　","","","☆☆☆","","","","","",23.7,135.091865,33.9812557,"","","",0,0,0,35,"由良町大字小引0-0","","",""
"特別養護老人ホームときわ寮梅の里","","","由良町","福祉避難所","","土砂災害予測地域　","","","","","","","",0,135.3422062,33.84318499,"","","",0,0,10,10,"みなべ町滝437-0","","",""
"特別養護老人ホームときわ寮川辺園","","","由良町","福祉避難所","","","","","","","","","",0,135.2124842,33.89781083,"","","",0,0,10,10,"日高川町大字和佐2081-1","","",""
"養護老人ホームときわ寮","","","由良町","福祉避難所","","津波浸水予測地域","","","","","","","",0,135.123936,33.8933854,"","","",0,0,10,10,"美浜町大字和田1138-180","","",""
"由良みのり園","","","由良町","福祉避難所","","土砂災害予測地域　","","","","","","","",0,135.110647,33.9701734,"","","",0,0,10,10,"由良町大字吹井949-0","","",""
"由良あかつき園","","","由良町","福祉避難所","","土砂災害予測地域　","","","","","","","",0,135.11273,33.9709317,"","","",0,0,10,10,"由良町大字吹井130-0","","",""
"特別養護老人ホームゆら博愛園","","","由良町","福祉避難所","","土砂災害予測地域　","","","","","","","",0,135.106192,33.9699151,"","","",0,0,10,10,"由良町大字吹井910-1","","",""
"特別養護老人ホームときわ寮","","","由良町","福祉避難所","","土砂災害予測地域　浸水予測地域　津波浸水予測地域","","","","","","","",0,135.086673,33.8930592,"","","",0,0,10,10,"美浜町大字三尾9-0","","",""
"高台(県道上待避所付近②）","衣奈","※津波一時避難場所","由良町","避難場所","地震　津波　","津波浸水予測地域","","☆☆☆","","","","","",16,135.127375,33.9951765,"","","",0,0,0,35,"由良町大字三尾川0-0","","指定緊急避難場所",""
"高台（県道上待避所付近①）","衣奈","※津波一時避難場所","由良町","避難場所","地震　津波　","津波浸水予測地域","","☆☆☆","","","","","",25,135.1277084,33.99761107,"","","",0,0,0,35,"由良町大字三尾川0-0","","指定緊急避難場所",""
"高台（西川原西高台）","衣奈","※津波一時避難場所","由良町","避難場所","地震　津波　","津波浸水予測地域","","☆☆☆","","","","","",35.8,135.123875,33.9977058,"","","",0,0,0,35,"由良町大字衣奈0-0","","指定緊急避難場所",""
"高台（黒島旅館裏田畑）","衣奈","※津波一時避難場所","由良町","避難場所","地震　津波　","津波浸水予測地域","","☆☆☆","","","","","",11.9,135.113521,33.989388,"","","",0,0,0,35,"由良町大字衣奈0-0","","指定緊急避難場所",""
"高台（衣奈八幡神社登り口付近）","衣奈","※津波一時避難場所","由良町","避難場所","地震　津波　","津波浸水予測地域","","☆☆☆","","","","","",20.1,135.1104028,33.98653606,"","","",0,0,0,35,"由良町大字衣奈0-0","","指定緊急避難場所",""
